North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
3,"Anderson, Jed",25y 168d,60 (32-0-28 53.33%),22 (0.37),50 (25-0-25 50.00%),18 (0.36)
18,"Atley, Shaun",26y 310d,193 (98-0-95 50.78%),43 (0.22),←,
50,"Brown, Ben",26y 242d,116 (61-0-55 52.59%),261 (2.25),←,
10,"Cunnington, Ben",28y 20d,204 (105-0-99 51.47%),84 (0.41),←,
14,"Dumont, Trent",24y 20d,77 (30-0-47 38.96%),23 (0.30),←,
24,"Durdin, Sam",23y 44d,15 (6-0-9 40.00%),1 (0.07),←,
22,"Goldstein, Todd",31y 19d,229 (116-1-112 50.87%),117 (0.51),←,
4,"Higgins, Shaun",31y 138d,215 (102-1-112 47.67%),215 (1.00),86 (44-0-42 51.16%),87 (1.01)
8,"Hrovat, Nathan",25y 43d,67 (26-0-41 38.81%),35 (0.52),37 (12-0-25 32.43%),21 (0.57)
20,"Larkey, Nick",21y 44d,14 (6-0-8 42.86%),19 (1.36),←,
34,"Macmillan, Jamie",27y 300d,152 (77-0-75 50.66%),45 (0.30),←,
17,"Pittard, Jasper",28y 110d,143 (73-0-70 51.05%),12 (0.08),17 (7-0-10 41.18%),1 (0.06)
13,"Polec, Jared",26y 281d,123 (66-0-57 53.66%),67 (0.54),17 (7-0-10 41.18%),12 (0.71)
12,"Simpkin, Jy",21y 137d,51 (22-0-29 43.14%),26 (0.51),←,
25,"Tarrant, Robbie",30y 86d,143 (69-0-74 48.25%),44 (0.31),←,
26,"Thomas, Tarryn",19y 117d,15 (7-0-8 46.67%),15 (1.00),←,
16,"Thompson, Scott",33y 72d,237 (115-2-120 48.95%),7 (0.03),←,
28,"Turner, Kayne",23y 201d,75 (38-0-37 50.67%),53 (0.71),←,
2,"Williams, Marley",25y 363d,115 (58-0-57 50.43%),10 (0.09),47 (22-0-25 46.81%),4 (0.09)
32,"Wood, Mason",25y 310d,53 (27-0-26 50.94%),68 (1.28),←,
7,"Ziebell, Jack",28y 142d,205 (99-0-106 48.29%),156 (0.76),←,
44,"Zurhaar, Cameron",21y 59d,23 (10-0-13 43.48%),25 (1.09),←,
Totals,Totals,26y 47d,2525 (1243-4-1278 49.23%),1348 (0.53),,
C,"Shaw, Rhyce",37y 277d,7 (4-0-3 57.14%),,←,
