Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",24y 150d,82 (50-0-32 60.98%),20 (0.24),←,
21,"Barry, Leo",29y 337d,200 (117-0-83 58.50%),51 (0.25),←,
6,"Bolton, Craig",26y 325d,131 (81-0-50 61.83%),21 (0.16),102 (64-0-38 62.75%),11 (0.11)
24,"Bolton, Jude",27y 37d,168 (93-1-74 55.65%),81 (0.48),←,
32,"Buchanan, Amon",24y 193d,76 (46-0-30 60.53%),35 (0.46),←,
28,"Crouch, Jared",29y 47d,195 (106-1-88 54.62%),45 (0.23),←,
10,"Everitt, Peter",32y 353d,256 (95-2-159 37.50%),370 (1.45),4 (2-0-2 50.00%),3 (0.75)
12,"Fosdike, Nic",27y 54d,144 (78-1-65 54.51%),60 (0.42),←,
37,"Goodes, Adam",27y 103d,190 (105-1-84 55.53%),192 (1.01),←,
39,"Grundy, Heath",20y 323d,9 (7-0-2 77.78%),9 (1.00),←,
1,"Hall, Barry",30y 72d,208 (105-2-101 50.96%),502 (2.41),120 (71-1-48 59.58%),358 (2.98)
16,"Jolly, Darren",25y 166d,101 (55-0-46 54.46%),26 (0.26),53 (35-0-18 66.04%),15 (0.28)
17,"Kennelly, Tadhg",25y 294d,127 (78-0-49 61.42%),29 (0.23),←,
31,"Kirk, Brett",30y 178d,152 (87-1-64 57.57%),60 (0.39),←,
9,"Malceski, Nick",22y 249d,26 (21-0-5 80.77%),12 (0.46),←,
4,"Mathews, Ben",28y 143d,177 (98-1-78 55.65%),37 (0.21),←,
3,"McVeigh, Jarrad",22y 14d,62 (38-0-24 61.29%),31 (0.50),←,
5,"OKeefe, Ryan",26y 87d,122 (73-0-49 59.84%),134 (1.10),←,
19,"OLoughlin, Michael",30y 60d,251 (145-2-104 58.17%),429 (1.71),←,
25,"Richards, Ted",24y 100d,60 (36-0-24 60.00%),23 (0.38),27 (17-0-10 62.96%),4 (0.15)
36,"Schmidt, Tim",21y 38d,5 (4-0-1 80.00%),3 (0.60),←,
13,"Schneider, Adam",22y 344d,80 (50-0-30 62.50%),73 (0.91),←,
Totals,Totals,26y 133d,2822 (1568-12-1242 55.56%),2243 (0.79),,
C,"Roos, Paul",43y 298d,113 (71-0-42 62.83%),,←,
