Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",14,4,6,20,,,,,,,,,,2.0,,,,,,,,,
34,"Bamford, Scott",4,2,1,5,1,,,2.0,,,,,,,,,,,,,,,
25,"Bews, Andrew",12,2,2,14,,,1.0,3.0,,,,,,1.0,,,,,,,,,
1,"Champion, Richard",11,4,4,15,1,1.0,,4.0,,,,,,1.0,,,,,,,,,
16,"Clarke, Matthew",6,2,4,10,,,13.0,,,,,,1.0,1.0,,,,,,,,,
14,"Dickfos, Danny",5,1,4,9,,,,2.0,,,,,1.0,1.0,,,,,,,,,
6,"Fletcher, Adrian",14,3,7,21,2,1.0,,1.0,,,,,2.0,1.0,2.0,,,,,,,,
8,"Gowers, Andrew",12,2,5,17,1,,,4.0,,,,,1.0,,,,,,,,,,
32,"Hart, Shaun",12,5,7,19,,1.0,,1.0,,,,,1.0,3.0,3.0,,,,,,,,
2,"Johnson, Chris",13,1,1,14,4,,,,,,,,1.0,2.0,,,,,,,,,
27,"Keating, Clark",9,7,2,11,5,,4.0,1.0,,,,,1.0,,,,,,,,,,
41,"Kennedy, Matthew",7,3,4,11,,1.0,,2.0,,,,,,1.0,,,,,,,,,
18,"Lambert, Craig",6,,5,11,,,1.0,,,,,,,,,,,,,,,,
44,"Lappin, Nigel",11,2,6,17,,,,2.0,,,,,3.0,,,,,,,,,,
23,"Leppitsch, Justin",10,3,,10,4,3.0,,,,,,,1.0,,,,,,,,,,
7,"McIvor, Scott",13,5,8,21,1,2.0,,,,,,,2.0,,1.0,,,,,,,,
20,"Molloy, Jarrod",5,1,2,7,,1.0,,3.0,,,,,1.0,2.0,,,,,,,,,
28,"Robbins, Ben",12,5,10,22,2,,,2.0,,,,,1.0,,,,,,,,,,
38,"Scott, Dion",2,1,2,4,1,,1.0,1.0,,,,,,,,,,,,,,,
3,"Voss, Michael",10,5,6,16,1,3.0,,1.0,,,,,1.0,,,,,,,,,,
33,"White, Darryl",13,4,3,16,,1.0,,2.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,62,89,290,23,16.0,20.0,31.0,,,,,17.0,16.0,6.0,,,,,,,,
Opposition,Opposition,169,53,97,266,7,15.0,21.0,24.0,,,,,16.0,17.0,,,,,,,,,
