Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Broadbridge, Troy",4,2,3,7,,,,2.0,2.0,,,1.0,,,,4.0,3.0,,,4.0,,,
25,"Brown, Nathan",6,3,9,15,,,,,,1.0,1.0,1.0,1.0,,,8.0,8.0,,,,,,
32,"Bruce, Cameron",6,3,2,8,2,1.0,,,,1.0,,1.0,1.0,1.0,,3.0,6.0,1.0,2.0,,2.0,,
4,"Ellis, Craig",15,8,7,22,,,,,8.0,2.0,,2.0,,,,8.0,14.0,1.0,,,3.0,,
15,"Funcke, Ross",9,7,6,15,,,,1.0,1.0,1.0,,1.0,,,,3.0,11.0,,,,,,
18,"Green, Brad",7,3,5,12,2,1.0,,,,2.0,1.0,1.0,,1.0,,3.0,8.0,,2.0,1.0,,,
16,"Johnstone, Travis",20,6,3,23,1,2.0,,1.0,3.0,9.0,4.0,,1.0,,3.0,7.0,16.0,1.0,,1.0,4.0,,
36,"Leoncelli, Andrew",14,5,6,20,1,,,6.0,2.0,3.0,3.0,2.0,2.0,1.0,,5.0,15.0,,1.0,,1.0,,
23,"McDonald, James",6,5,5,11,,,,2.0,,1.0,3.0,,,,,3.0,8.0,,,2.0,1.0,,
37,"Miller, Brad",,,2,2,,,1.0,,,,,1.0,,,,,2.0,,,1.0,,,
9,"Neitz, David",3,2,3,6,1,,2.0,1.0,,1.0,1.0,2.0,1.0,2.0,,3.0,3.0,,1.0,,,,
8,"Nicholson, Alistair",5,4,3,8,,,,,,3.0,,1.0,1.0,1.0,,3.0,5.0,1.0,,6.0,,,
7,"Powell, Stephen",16,5,11,27,,,,,2.0,4.0,7.0,1.0,,,,9.0,18.0,,,,,,
24,"Robertson, Russell",7,8,4,11,1,1.0,,1.0,,1.0,1.0,1.0,,1.0,,4.0,8.0,3.0,3.0,,,,
5,"Schwarz, David",6,2,4,10,,,8.0,,,4.0,2.0,1.0,1.0,1.0,,7.0,5.0,,,2.0,,,
6,"Thompson, Scott",2,1,3,5,,,,2.0,,2.0,,,,,,,5.0,,,1.0,,,
19,"Vardy, Peter",6,2,5,11,3,1.0,,1.0,,2.0,3.0,,1.0,,,7.0,3.0,,2.0,1.0,,,
45,"Whelan, Matthew",10,7,7,17,2,,,2.0,6.0,1.0,,1.0,3.0,,,7.0,11.0,1.0,,3.0,,,
34,"White, Jeff",12,6,2,14,,,23.0,1.0,,1.0,,2.0,,1.0,,4.0,11.0,,1.0,1.0,,,
26,"Williams, Luke",5,2,2,7,,1.0,,2.0,,1.0,1.0,2.0,,2.0,,2.0,5.0,,,,,,
22,"Woewodin, Shane",11,2,8,19,,1.0,1.0,3.0,3.0,2.0,5.0,1.0,,1.0,,10.0,8.0,,,2.0,,,
13,"Yze, Adem",18,1,6,24,,1.0,,1.0,5.0,5.0,2.0,1.0,,1.0,,8.0,14.0,,,2.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,188,84,106,294,13,11.0,35.0,26.0,32.0,47.0,34.0,23.0,12.0,13.0,3.0,108.0,187.0,8.0,12.0,27.0,11.0,,
Opposition,Opposition,171,73,119,290,14,10.0,18.0,44.0,30.0,51.0,32.0,32.0,13.0,12.0,3.0,109.0,183.0,6.0,11.0,42.0,20.0,,
