Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Ah Chee, Brendon",9,4,6,15,,1.0,,7.0,,6.0,1.0,1.0,,,,6.0,8.0,,1.0,2.0,,2.0,74.0
1,"Boak, Travis",14,3,8,22,1,,1.0,4.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,9.0,14.0,,1.0,1.0,2.0,2.0,82.0
5,"Broadbent, Matthew",15,3,10,25,1,2.0,,2.0,,7.0,8.0,2.0,1.0,,3.0,10.0,15.0,,1.0,1.0,1.0,,79.0
33,"Byrne-Jones, Darcy",10,4,6,16,,,,3.0,3.0,1.0,,1.0,,,,5.0,11.0,,,,,,78.0
22,"Dixon, Charlie",5,5,9,14,2,1.0,7.0,3.0,2.0,1.0,,2.0,,1.0,,11.0,3.0,5.0,3.0,3.0,,1.0,90.0
7,"Ebert, Brad",9,3,7,16,,2.0,1.0,7.0,3.0,3.0,2.0,2.0,1.0,1.0,,3.0,14.0,,,2.0,,1.0,77.0
46,"Gray, Sam",9,3,7,16,,3.0,,7.0,,3.0,4.0,1.0,1.0,,,10.0,7.0,1.0,1.0,2.0,,,73.0
8,"Hartlett, Hamish",11,4,11,22,,1.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,,,9.0,14.0,,,1.0,,,67.0
36,"Hombsch, Jack",8,4,4,12,,,,5.0,5.0,4.0,,1.0,3.0,1.0,,6.0,7.0,,,20.0,,,95.0
32,"Howard, Dougal",6,2,2,8,,,8.0,4.0,2.0,,3.0,3.0,1.0,1.0,,4.0,4.0,,,5.0,,,82.0
24,"Impey, Jarman",8,6,5,13,3,,,4.0,,3.0,,2.0,1.0,2.0,,5.0,10.0,,1.0,2.0,,1.0,86.0
42,"Jonas, Tom",6,2,7,13,,,,3.0,3.0,2.0,1.0,2.0,,1.0,,6.0,7.0,,,9.0,,,96.0
48,"Krakouer, Nathan",9,5,5,14,1,,,5.0,4.0,,,,1.0,,,6.0,7.0,,,,,,69.0
3,"Neade, Jake",5,1,1,6,2,,,4.0,1.0,1.0,,2.0,3.0,2.0,,3.0,3.0,,,,,,74.0
13,"OShea, Cameron",12,5,8,20,,,,3.0,4.0,3.0,1.0,4.0,1.0,1.0,,6.0,15.0,2.0,,7.0,,,92.0
29,"Pittard, Jasper",13,6,7,20,,,,4.0,1.0,5.0,1.0,2.0,,1.0,,4.0,15.0,,,5.0,1.0,,92.0
21,"Polec, Jared",15,6,8,23,,,,4.0,3.0,4.0,1.0,1.0,,,,10.0,14.0,2.0,,2.0,1.0,1.0,84.0
14,"Stewart, Paul",8,3,6,14,,,,3.0,2.0,2.0,,2.0,1.0,,,5.0,10.0,,,4.0,,,85.0
18,"Toumpas, Jimmy",8,5,6,14,,,,8.0,2.0,5.0,1.0,3.0,,1.0,,5.0,10.0,,,1.0,3.0,1.0,80.0
39,"Westhoff, Justin",14,8,7,21,1,2.0,5.0,3.0,4.0,1.0,1.0,3.0,,,,8.0,12.0,4.0,3.0,3.0,,1.0,91.0
16,"Wines, Ollie",8,4,12,20,,1.0,1.0,7.0,,4.0,5.0,5.0,,2.0,,12.0,8.0,,,2.0,,1.0,75.0
40,"Young, Aaron",4,5,7,11,2,,,5.0,,1.0,1.0,2.0,,2.0,,2.0,9.0,,2.0,1.0,,1.0,78.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,91,149,355,13,16.0,24.0,99.0,42.0,62.0,39.0,45.0,17.0,18.0,5.0,145.0,217.0,14.0,13.0,73.0,8.0,12.0,
Opposition,Opposition,192,72,185,377,8,11.0,64.0,71.0,45.0,53.0,45.0,47.0,18.0,17.0,1.0,161.0,211.0,7.0,6.0,43.0,12.0,6.0,
