Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",23y 141d,90 (30-0-60 33.33%),231 (2.57),←,
3,"Coniglio, Stephen",22y 249d,82 (33-0-49 40.24%),32 (0.39),←,
1,"Davis, Phil",25y 356d,94 (39-0-55 41.49%),6 (0.06),76 (28-0-48 36.84%),5 (0.07)
4,"Greene, Toby",22y 330d,95 (32-0-63 33.68%),73 (0.77),←,
32,"Griffen, Ryan",30y 24d,235 (117-1-117 50.00%),146 (0.62),33 (20-0-13 60.61%),16 (0.48)
19,"Haynes, Nick",24y 94d,59 (23-0-36 38.98%),6 (0.10),←,
2,"Hopper, Jacob",19y 196d,7 (5-0-2 71.43%),4 (0.57),←,
17,"Johnson, Steve",33y 47d,273 (192-3-78 70.88%),491 (1.80),20 (14-0-6 70.00%),39 (1.95)
22,"Kelly, Josh",21y 190d,57 (28-0-29 49.12%),34 (0.60),←,
37,"Lobb, Rory",23y 193d,32 (18-0-14 56.25%),33 (1.03),←,
41,"Mumford, Shane",30y 46d,148 (96-2-50 65.54%),47 (0.32),48 (27-0-21 56.25%),8 (0.17)
24,"Patfull, Joel",31y 257d,217 (95-3-119 44.47%),26 (0.12),35 (22-0-13 62.86%),2 (0.06)
12,"Patton, Jonathon",23y 92d,52 (22-0-30 42.31%),66 (1.27),←,
9,"Scully, Tom",25y 97d,124 (44-1-79 35.89%),55 (0.44),93 (31-0-62 33.33%),49 (0.53)
23,"Shaw, Heath",30y 267d,234 (142-2-90 61.11%),38 (0.16),61 (32-0-29 52.46%),1 (0.02)
5,"Shiel, Dylan",23y 164d,84 (29-0-55 34.52%),46 (0.55),←,
10,"Smith, Devon",23y 92d,90 (27-0-63 30.00%),81 (0.90),←,
20,"Tomlinson, Adam",23y 10d,64 (16-0-48 25.00%),18 (0.28),←,
8,"Ward, Callan",26y 132d,164 (66-0-98 40.24%),83 (0.51),104 (34-0-70 32.69%),50 (0.48)
6,"Whitfield, Lachie",22y 33d,69 (26-0-43 37.68%),32 (0.46),←,
29,"Williams, Zac",21y 335d,50 (22-0-28 44.00%),13 (0.26),←,
16,"Wilson, Nathan",23y 226d,50 (23-0-27 46.00%),12 (0.24),←,
Totals,Totals,25y 30d,2370 (1125-12-1233 47.47%),1573 (0.66),,
C,"Cameron, Leon",43y 353d,65 (32-0-33 49.23%),,←,
