Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
18,"Bartlett, Trent",24y 153d,65 (31-2-32 49.23%),34 (0.52),26 (13-0-13 50.00%),26 (1.00)
17,"Brown, Nathan",23y 77d,76 (44-1-31 58.55%),67 (0.88),←,
19,"Contessa, Adam",24y 120d,39 (23-1-15 60.26%),7 (0.18),←,
26,"Cox, Simon",24y 93d,47 (22-0-25 46.81%),18 (0.38),←,
16,"Croft, Matthew",28y 61d,134 (77-3-54 58.58%),48 (0.36),←,
11,"Curley, Todd",28y 104d,106 (55-2-49 52.83%),43 (0.41),103 (53-2-48 52.43%),42 (0.41)
14,"Darcy, Luke",25y 290d,117 (63-2-52 54.70%),81 (0.69),←,
28,"Dimattina, Paul",26y 157d,85 (51-1-33 60.59%),37 (0.44),←,
10,"Eagleton, Nathan",22y 169d,84 (40-2-42 48.81%),69 (0.82),28 (14-0-14 50.00%),24 (0.86)
32,"Ellis, Craig",25y 328d,90 (48-1-41 53.89%),4 (0.04),←,
4,"Garlick, Simon",26y 18d,116 (66-1-49 57.33%),85 (0.73),72 (42-1-29 59.03%),58 (0.81)
3,"Grant, Chris",28y 136d,235 (126-4-105 54.47%),445 (1.89),←,
22,"Harrison, Ben",26y 101d,81 (40-0-41 49.38%),41 (0.51),5 (2-0-3 40.00%),2 (0.40)
9,"Hudson, Paul",30y 282d,225 (134-1-90 59.78%),455 (2.02),91 (54-1-36 59.89%),191 (2.10)
25,"Hunter, Kingsley",25y 336d,63 (24-0-39 38.10%),97 (1.54),22 (10-0-12 45.45%),11 (0.50)
6,"Johnson, Brad",24y 284d,150 (79-3-68 53.67%),145 (0.97),←,
2,"Murphy, Robert",18y 323d,8 (5-0-3 62.50%),2 (0.25),←,
27,"Penny, Luke",20y 79d,13 (6-0-7 46.15%),3 (0.23),←,
30,"Robbins, Matthew",23y 355d,35 (20-1-14 58.57%),10 (0.29),28 (16-1-11 58.93%),10 (0.36)
36,"Romero, Jose",29y 270d,208 (108-1-99 52.16%),168 (0.81),119 (59-1-59 50.00%),70 (0.59)
5,"Smith, Rohan",27y 332d,175 (95-3-77 55.14%),173 (0.99),←,
7,"West, Scott",26y 165d,175 (92-2-81 53.14%),67 (0.38),←,
Totals,Totals,25y 209d,2327 (1249-31-1047 53.67%),2099 (0.90),,
C,"Wallace, Terry",42y 136d,110 (63-1-46 57.73%),,←,
