Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
12,"Blakey, John",34y 356d,339 (184-0-155 54.28%),107 (0.32),204 (132-0-72 64.71%),69 (0.34)
22,"Burton, Matthew",31y 57d,107 (43-0-64 40.19%),45 (0.42),37 (21-0-16 56.76%),13 (0.35)
18,"Carey, Wayne",30y 49d,239 (151-0-88 63.18%),661 (2.77),←,
23,"Clayton, Shane",22y 264d,81 (44-0-37 54.32%),30 (0.37),63 (42-0-21 66.67%),29 (0.46)
45,"Cochrane, Stuart",22y 360d,27 (14-0-13 51.85%),5 (0.19),←,
2,"Colbert, Leigh",26y 38d,133 (78-1-54 59.02%),62 (0.47),28 (16-0-12 57.14%),12 (0.43)
6,"Grant, Shannon",24y 87d,146 (92-1-53 63.36%),167 (1.14),88 (60-0-28 68.18%),129 (1.47)
29,"Harvey, Brent",23y 62d,102 (69-0-33 67.65%),110 (1.08),←,
21,"Jones, Corey",20y 139d,9 (5-0-4 55.56%),4 (0.44),←,
34,"King, David",29y 130d,171 (113-0-58 66.08%),84 (0.49),←,
35,"Makepeace, Troy",22y 131d,32 (19-0-13 59.38%),10 (0.31),←,
4,"Martyn, Mick",32y 318d,266 (159-1-106 59.96%),15 (0.06),←,
5,"McCartney, Jason",27y 123d,160 (91-0-69 56.88%),53 (0.33),85 (57-0-28 67.06%),5 (0.06)
31,"McKernan, Corey",27y 208d,175 (118-0-57 67.43%),221 (1.26),←,
44,"Motlop, Shannon",22y 331d,35 (24-0-11 68.57%),21 (0.60),←,
28,"Pickett, Byron",23y 338d,91 (61-0-30 67.03%),29 (0.32),←,
3,"Rawlings, Brady",20y 35d,32 (24-0-8 75.00%),12 (0.38),←,
26,"Rocca, Saverio",27y 237d,170 (77-2-91 45.88%),545 (3.21),14 (7-0-7 50.00%),31 (2.21)
9,"Sinclair, Jess",22y 323d,61 (18-0-43 29.51%),31 (0.51),11 (5-0-6 45.45%),5 (0.45)
10,"Stevens, Anthony",30y 13d,233 (144-0-89 61.80%),102 (0.44),←,
40,"Teague, David",20y 71d,3 (3-0-0 100.00%),,←,
36,"Watt, Shannon",20y 231d,18 (11-0-7 61.11%),2 (0.11),←,
Totals,Totals,25y 227d,2630 (1542-5-1083 58.63%),2316 (0.88),,
C,"Pagan, Denis",53y 294d,210 (137-0-73 65.24%),,←,
