Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 170d,35 (13-1-21 38.57%),20 (0.57),←,
35,"Baxter, Darren",25y 84d,81 (36-2-43 45.68%),10 (0.12),←,
18,"Cameron, Leon",17y 282d,10 (6-0-4 60.00%),5 (0.50),←,
20,"Coleman, Glenn",29y 128d,134 (73-1-60 54.85%),77 (0.57),9 (5-0-4 55.56%),13 (1.44)
26,"Del-Re, Danny",22y 119d,4 (2-0-2 50.00%),1 (0.25),←,
12,"Eppelstun, Greg",23y 207d,70 (34-1-35 49.29%),1 (0.01),←,
32,"Foster, Peter",30y 9d,117 (62-2-53 53.85%),50 (0.43),110 (59-2-49 54.55%),48 (0.44)
29,"Grant, Chris",17y 180d,11 (6-0-5 54.55%),35 (3.18),←,
30,"Harrington, Tim",26y 265d,45 (16-1-28 36.67%),2 (0.04),17 (7-0-10 41.18%),
7,"Hawkins, Doug",30y 37d,233 (92-3-138 40.13%),109 (0.47),←,
43,"Hogg, Matthew",21y 172d,44 (17-1-26 39.77%),4 (0.09),←,
8,"Kennedy, Rick",29y 182d,143 (60-2-81 42.66%),32 (0.22),←,
21,"Kolyniuk, Steven",19y 341d,21 (10-1-10 50.00%),18 (0.86),←,
39,"Liberatore, Tony",24y 120d,29 (17-0-12 58.62%),19 (0.66),←,
11,"McGuinness, Tony",26y 36d,98 (44-2-52 45.92%),96 (0.98),←,
33,"Royal, Brian",28y 181d,148 (77-2-69 52.70%),188 (1.27),←,
16,"Wallace, Terry",31y 180d,239 (141-2-96 59.41%),118 (0.49),54 (23-1-30 43.52%),15 (0.28)
24,"Wallis, Stephen",25y 227d,157 (79-2-76 50.96%),40 (0.25),←,
6,"Wigney, Stuart",21y 53d,33 (14-1-18 43.94%),13 (0.39),←,
15,"Wynd, Scott",20y 137d,30 (12-0-18 40.00%),6 (0.20),←,
Totals,Totals,24y 229d,1682 (811-24-847 48.22%),844 (0.50),,
C,"Wheeler, Terry",35y 90d,11 (6-0-5 54.55%),,←,
