Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
13,"Boyd, Tom",18y 360d,7 (2-0-5 28.57%),6 (0.86),←,
14,"Bugg, Tomas",21y 134d,47 (8-0-39 17.02%),12 (0.26),←,
21,"Buntine, Matt",20y 302d,14 (2-0-12 14.29%),,←,
1,"Davis, Phil",23y 352d,63 (18-0-45 28.57%),6 (0.10),45 (7-0-38 15.56%),5 (0.11)
4,"Greene, Toby",20y 326d,51 (6-0-45 11.76%),17 (0.33),←,
33,"Hoskin-Elliott, Will",20y 349d,37 (5-0-32 13.51%),32 (0.86),←,
22,"Kelly, Josh",19y 186d,16 (4-0-12 25.00%),12 (0.75),←,
40,"Kennedy, Adam",22y 36d,53 (7-0-46 13.21%),4 (0.08),←,
41,"Mumford, Shane",28y 43d,115 (74-2-39 65.22%),43 (0.37),15 (5-0-10 33.33%),4 (0.27)
24,"ORourke, Jonathan",20y 118d,8 (1-0-7 12.50%),,←,
7,"Palmer, Rhys",25y 185d,94 (26-0-68 27.66%),61 (0.65),41 (5-0-36 12.20%),38 (0.93)
12,"Patton, Jonathon",21y 89d,29 (6-0-23 20.69%),34 (1.17),←,
30,"Plowman, Lachie",19y 340d,16 (2-0-14 12.50%),1 (0.06),←,
23,"Shaw, Heath",28y 263d,189 (115-2-72 61.38%),37 (0.20),16 (5-0-11 31.25%),
5,"Shiel, Dylan",21y 161d,48 (6-0-42 12.50%),25 (0.52),←,
10,"Smith, Devon",21y 89d,57 (8-0-49 14.04%),49 (0.86),←,
36,"Stewart, James",20y 166d,2 (1-0-1 50.00%),,←,
20,"Tomlinson, Adam",21y 7d,43 (4-0-39 9.30%),15 (0.35),←,
17,"Treloar, Adam",21y 161d,56 (8-0-48 14.29%),32 (0.57),←,
8,"Ward, Callan",24y 129d,121 (40-0-81 33.06%),59 (0.49),61 (8-0-53 13.11%),26 (0.43)
42,"Whiley, Mark",21y 259d,11 (2-0-9 18.18%),1 (0.09),←,
16,"Wilson, Nathan",21y 222d,17 (3-0-14 17.65%),7 (0.41),←,
Totals,Totals,22y 28d,1094 (348-4-742 31.81%),453 (0.41),,
C,"Cameron, Leon",41y 349d,20 (5-0-15 25.00%),,←,
