Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Bonar, Aiden",6,5,3,9,2,2.0,,4.0,,1.0,,1.0,1.0,1.0,,4.0,5.0,1.0,3.0,,,,70.0
21,"Buntine, Matt",3,2,1,4,,,,1.0,1.0,,,5.0,,3.0,,2.0,2.0,,,4.0,,,84.0
18,"Cameron, Jeremy",11,5,4,15,2,1.0,,,,,,2.0,1.0,1.0,,8.0,8.0,1.0,1.0,1.0,,,95.0
3,"Coniglio, Stephen",12,1,7,19,2,,,5.0,,2.0,6.0,5.0,1.0,4.0,,10.0,8.0,,,1.0,,1.0,89.0
16,"Daniels, Brent",5,2,6,11,,1.0,,5.0,,4.0,1.0,1.0,,,,6.0,5.0,,,1.0,,2.0,73.0
1,"Davis, Phil",8,9,9,17,,,,2.0,3.0,1.0,,1.0,2.0,,,4.0,13.0,,,4.0,,,97.0
32,"Griffen, Ryan",7,2,3,10,1,2.0,,4.0,,,,4.0,,2.0,,2.0,8.0,,,2.0,,1.0,81.0
19,"Haynes, Nick",16,8,6,22,,,,1.0,5.0,4.0,,1.0,2.0,,,6.0,15.0,1.0,,1.0,,,89.0
27,"Himmelberg, Harry",10,6,8,18,2,2.0,1.0,5.0,,2.0,1.0,1.0,2.0,,,11.0,9.0,1.0,4.0,3.0,,1.0,85.0
2,"Hopper, Jacob",12,2,5,17,2,,,6.0,,,5.0,6.0,1.0,2.0,,8.0,8.0,,,1.0,,,81.0
25,"Keeffe, Lachlan",4,2,6,10,,,,1.0,2.0,,,1.0,,,,4.0,6.0,,,3.0,,,85.0
22,"Kelly, Josh",10,,7,17,1,,,4.0,1.0,5.0,4.0,1.0,1.0,,,7.0,10.0,,,1.0,,,53.0
40,"Kennedy, Adam",9,5,4,13,,,,1.0,4.0,3.0,1.0,2.0,,1.0,,2.0,10.0,,,2.0,,,86.0
17,"Langdon, Zac",5,3,8,13,,,,6.0,1.0,2.0,3.0,1.0,,,,5.0,8.0,,,,,1.0,80.0
37,"Lobb, Rory",12,3,3,15,1,1.0,40.0,8.0,1.0,4.0,1.0,,1.0,,,10.0,6.0,2.0,,6.0,,,91.0
50,"Reid, Sam",5,1,2,7,,1.0,,1.0,,3.0,,2.0,1.0,2.0,,5.0,2.0,,,2.0,,,40.0
23,"Shaw, Heath",15,7,5,20,,,,2.0,7.0,2.0,,5.0,,2.0,,6.0,11.0,,,5.0,1.0,1.0,79.0
5,"Shiel, Dylan",18,3,6,24,1,,,5.0,2.0,1.0,6.0,2.0,1.0,,,13.0,12.0,,,1.0,,,89.0
14,"Taranto, Tim",11,2,5,16,,1.0,,10.0,,4.0,3.0,3.0,1.0,,,9.0,7.0,1.0,,3.0,,2.0,90.0
20,"Tomlinson, Adam",8,1,4,12,,,3.0,4.0,2.0,3.0,1.0,1.0,,,,6.0,7.0,,,1.0,,,92.0
8,"Ward, Callan",12,1,15,27,,,,4.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,16.0,12.0,,,2.0,,,88.0
6,"Whitfield, Lachie",23,11,7,30,1,1.0,,3.0,6.0,5.0,2.0,3.0,,,3.0,4.0,24.0,,1.0,1.0,2.0,1.0,83.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,81,124,346,15,16.0,44.0,82.0,36.0,50.0,39.0,50.0,17.0,20.0,5.0,148.0,196.0,7.0,9.0,45.0,3.0,10.0,
Opposition,Opposition,204,79,136,340,13,14.0,63.0,65.0,30.0,51.0,41.0,49.0,20.0,17.0,1.0,146.0,196.0,9.0,10.0,50.0,4.0,7.0,
