Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",29y 132d,217 (134-0-83 61.75%),119 (0.55),←,
22,"Burton, Matthew",32y 76d,132 (54-0-78 40.91%),60 (0.45),62 (32-0-30 51.61%),28 (0.45)
23,"Clayton, Shane",23y 283d,103 (54-0-49 52.43%),51 (0.50),85 (52-0-33 61.18%),50 (0.59)
45,"Cochrane, Stuart",24y 14d,45 (21-0-24 46.67%),10 (0.22),←,
2,"Colbert, Leigh",27y 57d,151 (87-1-63 57.95%),63 (0.42),46 (25-0-21 54.35%),13 (0.28)
6,"Grant, Shannon",25y 106d,167 (101-1-65 60.78%),185 (1.11),109 (69-0-40 63.30%),147 (1.35)
39,"Harding, Leigh",21y 99d,19 (10-0-9 52.63%),27 (1.42),←,
34,"King, David",30y 149d,194 (124-0-70 63.92%),104 (0.54),←,
35,"Makepeace, Troy",23y 150d,57 (30-0-27 52.63%),14 (0.25),←,
4,"Martyn, Mick",33y 337d,282 (168-1-113 59.75%),16 (0.06),←,
32,"Morrell, Digby",22y 297d,21 (11-0-10 52.38%),20 (0.95),←,
19,"Motlop, Daniel",20y 140d,6 (1-0-5 16.67%),2 (0.33),←,
20,"Petrie, Drew",19y 292d,15 (7-0-8 46.67%),7 (0.47),←,
28,"Pickett, Byron",24y 357d,116 (72-0-44 62.07%),71 (0.61),←,
17,"Porter, Mark",25y 296d,71 (37-0-34 52.11%),16 (0.23),16 (9-0-7 56.25%),3 (0.19)
3,"Rawlings, Brady",21y 54d,45 (29-0-16 64.44%),18 (0.40),←,
30,"Robbins, Ben",25y 219d,70 (35-2-33 51.43%),16 (0.23),18 (10-0-8 55.56%),2 (0.11)
26,"Rocca, Saverio",28y 256d,195 (88-2-105 45.64%),604 (3.10),39 (18-0-21 46.15%),90 (2.31)
7,"Simpson, Adam",26y 168d,154 (100-0-54 64.94%),49 (0.32),←,
9,"Sinclair, Jess",23y 342d,78 (26-0-52 33.33%),40 (0.51),28 (13-0-15 46.43%),14 (0.50)
10,"Stevens, Anthony",31y 32d,251 (154-0-97 61.35%),112 (0.45),←,
40,"Teague, David",21y 90d,21 (11-0-10 52.38%),4 (0.19),←,
Totals,Totals,25y 213d,2410 (1354-7-1049 56.18%),1608 (0.67),,
C,"Pagan, Denis",54y 313d,235 (148-0-87 62.98%),,←,
