Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
24,"Adams, Marcus",26y 76d,37 (21-0-16 56.76%),4 (0.11),10 (7-0-3 70.00%),
31,"Andrews, Harris",22y 277d,97 (27-0-70 27.84%),9 (0.09),←,
43,"Answerth, Noah",20y 39d,19 (13-0-6 68.42%),2 (0.11),←,
33,"Bailey, Zac",19y 356d,27 (13-0-14 48.15%),11 (0.41),←,
7,"Berry, Jarrod",21y 221d,57 (22-0-35 38.60%),27 (0.47),←,
23,"Cameron, Charlie",25y 71d,108 (64-1-43 59.72%),161 (1.49),35 (17-0-18 48.57%),74 (2.11)
3,"Christensen, Allen",28y 118d,133 (68-0-65 51.13%),114 (0.86),68 (19-0-49 27.94%),58 (0.85)
27,"Gardiner, Darcy",23y 357d,106 (36-0-70 33.96%),5 (0.05),←,
30,"Hipwood, Eric",22y 1d,75 (27-0-48 36.00%),113 (1.51),←,
2,"Hodge, Luke",35y 91d,346 (198-2-146 57.51%),194 (0.56),41 (18-0-23 43.90%),1 (0.02)
17,"Lyons, Jarryd",27y 54d,116 (60-0-56 51.72%),63 (0.54),24 (16-0-8 66.67%),14 (0.58)
12,"Martin, Stefan",32y 301d,182 (53-1-128 29.40%),45 (0.25),125 (39-0-86 31.20%),22 (0.18)
11,"McCarthy, Lincoln",25y 327d,53 (39-0-14 73.58%),45 (0.85),24 (16-0-8 66.67%),20 (0.83)
6,"McCluggage, Hugh",21y 195d,63 (24-0-39 38.10%),41 (0.65),←,
46,"McInerney, Oscar",25y 66d,37 (18-0-19 48.65%),24 (0.65),←,
25,"McStay, Daniel",24y 82d,103 (34-0-69 33.01%),74 (0.72),←,
9,"Neale, Lachie",26y 113d,159 (81-0-78 50.94%),79 (0.50),24 (16-0-8 66.67%),12 (0.50)
16,"Rayner, Cam",19y 328d,46 (21-0-25 45.65%),40 (0.87),←,
10,"Rich, Daniel",29y 99d,207 (73-1-133 35.51%),106 (0.51),←,
18,"Robertson, Nick",24y 103d,73 (13-0-60 17.81%),10 (0.14),←,
29,"Witherden, Alex",21y 4d,53 (22-0-31 41.51%),5 (0.09),←,
15,"Zorko, Dayne",30y 217d,168 (58-0-110 34.52%),184 (1.10),←,
Totals,Totals,25y 59d,2265 (985-5-1275 43.49%),1356 (0.60),,
C,"Fagan, Chris",58y 83d,68 (26-0-42 38.24%),,←,
