Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",25y 212d,122 (62-2-58 51.64%),75 (0.61),←,
19,"Beveridge, Luke",23y 334d,56 (33-0-23 58.93%),54 (0.96),14 (9-0-5 64.29%),13 (0.93)
18,"Cameron, Leon",21y 324d,77 (41-1-35 53.90%),32 (0.42),←,
16,"Croft, Matthew",21y 147d,16 (9-0-7 56.25%),13 (0.81),←,
3,"Grant, Chris",21y 222d,92 (51-1-40 55.98%),197 (2.14),←,
1,"Grgic, Ilija",22y 140d,25 (15-0-10 60.00%),44 (1.76),←,
7,"Hawkins, Doug",34y 79d,323 (140-4-179 43.96%),214 (0.66),←,
10,"Hunter, Mark",28y 323d,104 (50-2-52 49.04%),6 (0.06),←,
33,"Johnson, Brad",18y 5d,1 (1-0-0 100.00%),,←,
21,"Kolyniuk, Steven",24y 18d,90 (46-1-43 51.67%),108 (1.20),←,
12,"Koster, Kym",21y 172d,15 (8-0-7 53.33%),6 (0.40),←,
35,"Kretiuk, Steven",22y 19d,33 (21-0-12 63.64%),8 (0.24),←,
39,"Liberatore, Tony",28y 162d,120 (68-1-51 57.08%),65 (0.54),←,
27,"Macpherson, Stephen",29y 233d,173 (87-3-83 51.16%),150 (0.87),←,
44,"Osborne, Richard",30y 37d,213 (88-0-125 41.31%),468 (2.20),10 (7-0-3 70.00%),18 (1.80)
22,"Quill, Peter",24y 334d,26 (15-0-11 57.69%),7 (0.27),←,
2,"Reynolds, Keenan",25y 197d,66 (37-0-29 56.06%),28 (0.42),←,
8,"Southern, Daniel",19y 203d,16 (9-0-7 56.25%),3 (0.19),←,
17,"Standfield, Barry",24y 160d,66 (38-0-28 57.58%),30 (0.45),←,
24,"Wallis, Stephen",29y 269d,220 (118-2-100 54.09%),52 (0.24),←,
14,"West, Scott",19y 251d,32 (18-0-14 56.25%),25 (0.78),←,
Totals,Totals,24y 235d,1886 (955-17-914 50.64%),1585 (0.84),,
C,"Joyce, Alan",51y 275d,107 (75-0-32 70.09%),,14 (8-0-6 57.14%),
