Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Bontempelli, Marcus",19,7,10,29,,2.0,,8.0,3.0,2.0,3.0,5.0,1.0,1.0,,7.0,22.0,1.0,1.0,2.0,,,87.0
9,"Crozier, Hayden",17,5,6,23,,,,3.0,6.0,1.0,1.0,3.0,2.0,,,5.0,17.0,1.0,1.0,8.0,1.0,,84.0
35,"Daniel, Caleb",16,6,13,29,,,,1.0,6.0,1.0,1.0,,1.0,,,9.0,18.0,,,1.0,1.0,1.0,85.0
5,"Dunkley, Josh",14,7,14,28,2,,,4.0,,3.0,3.0,3.0,1.0,1.0,,10.0,17.0,,,2.0,,2.0,76.0
26,"Gowers, Billy",9,8,4,13,3,1.0,,2.0,,2.0,,3.0,1.0,,,5.0,8.0,1.0,4.0,1.0,,1.0,82.0
30,"Greene, Fergus",4,2,4,8,1,,,1.0,,,1.0,4.0,,1.0,,3.0,6.0,,,,,1.0,76.0
7,"Hunter, Lachie",18,12,17,35,,,,2.0,3.0,5.0,2.0,3.0,2.0,1.0,,6.0,29.0,,,3.0,1.0,,89.0
39,"Johannisen, Jason",15,6,9,24,,,,1.0,4.0,2.0,,2.0,,1.0,,1.0,22.0,,,2.0,,1.0,83.0
27,"Lipinski, Patrick",4,3,2,6,,,,1.0,,1.0,1.0,1.0,,,,4.0,5.0,,1.0,,,,63.0
36,"Lynch, Brad",9,7,1,10,2,1.0,,3.0,,5.0,,1.0,1.0,,,2.0,8.0,,1.0,,1.0,,68.0
11,"Macrae, Jack",24,14,19,43,1,,,7.0,3.0,6.0,4.0,3.0,4.0,,3.0,14.0,30.0,1.0,1.0,1.0,,1.0,89.0
16,"McLean, Toby",7,7,10,17,,,,5.0,1.0,2.0,3.0,1.0,1.0,1.0,,6.0,12.0,,,,,,83.0
38,"Morris, Dale",2,,7,9,,,,1.0,4.0,,,3.0,,1.0,,3.0,7.0,,,11.0,,,93.0
33,"Naughton, Aaron",12,9,6,18,,,,1.0,4.0,,,3.0,1.0,1.0,,12.0,6.0,5.0,,2.0,,,90.0
20,"Richards, Ed",3,4,7,10,1,,,1.0,1.0,1.0,1.0,2.0,,1.0,,3.0,7.0,1.0,,3.0,,,80.0
23,"Roughead, Jordan",7,6,5,12,,1.0,5.0,1.0,1.0,2.0,1.0,,1.0,,,7.0,5.0,3.0,1.0,3.0,,1.0,87.0
13,"Schache, Josh",4,4,6,10,1,,,1.0,,,,2.0,,,,4.0,6.0,1.0,2.0,,,,74.0
37,"Smith, Roarke",6,3,9,15,,,,2.0,,1.0,,2.0,,,,4.0,11.0,,,2.0,,3.0,87.0
8,"Trengove, Jackson",11,6,5,16,1,,15.0,7.0,1.0,2.0,4.0,1.0,1.0,,,5.0,9.0,1.0,1.0,,,,83.0
3,"Wallis, Mitch",10,2,13,23,1,,,2.0,2.0,3.0,5.0,,3.0,,,10.0,13.0,,1.0,1.0,,,80.0
34,"Williams, Bailey",12,6,6,18,1,1.0,,1.0,,6.0,,4.0,,1.0,,8.0,11.0,2.0,1.0,,,,73.0
10,"Wood, Easton",10,7,7,17,,,,1.0,3.0,2.0,,,,,,5.0,11.0,1.0,,,,,89.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,233,131,180,413,14,11.0,20.0,56.0,42.0,47.0,30.0,46.0,20.0,10.0,3.0,133.0,280.0,18.0,15.0,42.0,4.0,11.0,
Opposition,Opposition,200,85,164,364,15,8.0,28.0,48.0,30.0,59.0,25.0,60.0,10.0,20.0,3.0,132.0,232.0,7.0,12.0,49.0,6.0,13.0,
