Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",9,2,3,12,3,,,3.0,,,,,1.0,3.0,,,,,,,,,
7,"Allan, Ben",20,3,4,24,,,,1.0,,,,,1.0,1.0,,,,,,,,,
33,"Burrows, Craig",11,3,3,14,2,1.0,,,,,,,3.0,3.0,2.0,,,,,,,,
24,"Burton, Matthew",7,5,2,9,1,,14.0,1.0,,,,,1.0,2.0,,,,,,,,,
1,"Edwards, Scott",9,5,4,13,,1.0,,2.0,,,,,2.0,2.0,,,,,,,,,
6,"Gilbert, Phil",2,1,3,5,1,,,1.0,,,,,,,,,,,,,,,
16,"Hutton, John",4,3,,4,2,1.0,,,,,,,,2.0,,,,,,,,,
38,"Jones, Anthony",9,5,,9,,,,2.0,,,,,,,,,,,,,,,
11,"Kickett, Dale",9,1,16,25,,,,3.0,,,,,1.0,,,,,,,,,,
36,"Leach, Quenton",12,6,6,18,,,,1.0,,,,,1.0,3.0,,,,,,,,,
9,"Mann, Peter",10,9,3,13,2,2.0,,1.0,,,,,1.0,3.0,,,,,,,,,
43,"McGovern, Andrew",1,,4,5,,,,2.0,,,,,1.0,,,,,,,,,,
49,"Miller, Peter",12,2,2,14,2,,,1.0,,,,,2.0,,,,,,,,,,
25,"Norrish, Jason",10,4,4,14,,,,3.0,,,,,1.0,2.0,,,,,,,,,
10,"OReilly, Stephen",9,5,7,16,,,,2.0,,,,,,1.0,,,,,,,,,
23,"Parker, Shane",6,5,9,15,,,,,,,,,,1.0,,,,,,,,,
5,"Ridley, Todd",5,3,3,8,2,,,1.0,,,,,,1.0,,,,,,,,,
31,"Wardell-Johnson, Leigh",5,1,,5,,,,1.0,,,,,,1.0,,,,,,,,,
2,"Watters, Scott",15,6,12,27,1,,,1.0,,,,,4.0,3.0,3.0,,,,,,,,
34,"White, Jeff",4,3,,4,1,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,
4,"Wills, Andrew",9,4,5,14,1,3.0,,1.0,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,178,76,90,268,18,13.0,15.0,29.0,,,,,22.0,30.0,5.0,,,,,,,,
Opposition,Opposition,203,77,139,342,11,12.0,14.0,36.0,,,,,30.0,22.0,1.0,,,,,,,,
