St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
11,"Anderson, Dean",27y 306d,127 (73-1-53 57.87%),96 (0.76),44 (15-1-28 35.23%),22 (0.50)
14,"Bardsley, Kristian",22y 263d,26 (9-1-16 36.54%),17 (0.65),21 (7-1-13 35.71%),13 (0.62)
26,"Brown, Tony",18y 6d,5 (2-0-3 40.00%),2 (0.40),←,
3,"Burke, Nathan",25y 117d,170 (72-2-96 42.94%),55 (0.32),←,
42,"Coghlan, Glen",20y 309d,7 (1-0-6 14.29%),3 (0.43),←,
1,"Devonport, Craig",25y 127d,90 (42-0-48 46.67%),78 (0.87),←,
10,"Everitt, Peter",21y 31d,41 (15-1-25 37.80%),40 (0.98),←,
2,"Frawley, Danny",31y 268d,233 (81-2-150 35.19%),13 (0.06),←,
32,"Georgiou, John",19y 241d,14 (10-0-4 71.43%),2 (0.14),←,
35,"Harvey, Robert",23y 286d,122 (59-2-61 49.18%),69 (0.57),←,
29,"Jones, Austinn",18y 248d,10 (2-0-8 20.00%),6 (0.60),←,
17,"Keogh, Rod",24y 70d,43 (19-0-24 44.19%),13 (0.30),21 (7-0-14 33.33%),5 (0.24)
23,"Loewe, Stewart",27y 11d,179 (75-1-103 42.18%),282 (1.58),←,
8,"Peckett, Justin",22y 241d,48 (19-1-28 40.63%),1 (0.02),←,
31,"Shanahan, Jamie",27y 179d,67 (31-1-35 47.01%),,←,
13,"Sierakowski, David",20y 156d,10 (1-1-8 15.00%),2 (0.20),←,
4,"Smith, Joel",18y 31d,8 (2-0-6 25.00%),1 (0.13),←,
19,"Sziller, Steven",22y 170d,10 (2-0-8 20.00%),3 (0.30),←,
9,"Vidovic, Lazar",30y 63d,51 (27-1-23 53.92%),8 (0.16),←,
15,"Wakelin, Darryl",20y 296d,9 (2-0-7 22.22%),,←,
7,"Winmar, Nicky",29y 251d,163 (70-1-92 43.25%),220 (1.35),←,
Totals,Totals,23y 262d,1433 (614-15-804 42.85%),911 (0.64),,
C,"Alves, Stan",49y 12d,32 (9-1-22 29.69%),,←,
