Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Boak, Travis",8,2,11,19,1.0,1.0,,3.0,1.0,1.0,4.0,4.0,,2.0,,6,11,,,,,,71.0
5,"Broadbent, Matthew",11,3,9,20,,,,1.0,2.0,1.0,2.0,,2.0,,,9,10,,,1.0,,,89.0
33,"Byrne-Jones, Darcy",18,4,7,25,,,,4.0,1.0,6.0,2.0,2.0,3.0,,,12,13,1.0,,6.0,,,82.0
17,"Clurey, Tom",8,5,7,15,,,,2.0,4.0,1.0,,4.0,,1.0,,7,7,1.0,,5.0,,,92.0
22,"Dixon, Charlie",8,6,8,16,1.0,,,,,2.0,1.0,6.0,1.0,2.0,,9,8,1.0,1.0,1.0,,,88.0
7,"Ebert, Brad",15,2,9,24,,1.0,,8.0,1.0,10.0,7.0,1.0,,1.0,,11,13,,,4.0,,1.0,83.0
9,"Gray, Robbie",13,7,8,21,2.0,4.0,,6.0,,4.0,1.0,2.0,1.0,,,7,13,2.0,6.0,,,4.0,89.0
46,"Gray, Sam",18,7,4,22,1.0,3.0,,3.0,1.0,6.0,1.0,6.0,3.0,2.0,,8,13,,1.0,5.0,1.0,2.0,85.0
8,"Hartlett, Hamish",7,4,8,15,1.0,,,,1.0,2.0,,3.0,,1.0,,5,10,1.0,,1.0,,,73.0
36,"Hombsch, Jack",8,6,3,11,,,,4.0,2.0,1.0,,1.0,,1.0,,3,7,2.0,,3.0,,,90.0
43,"Houston, Dan",7,4,10,17,,,,3.0,5.0,,1.0,1.0,,,,10,5,1.0,,1.0,,,78.0
24,"Impey, Jarman",6,2,4,10,,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,6,6,1.0,,1.0,5.0,,77.0
42,"Jonas, Tom",10,4,3,13,,,,1.0,3.0,2.0,,,,,,2,12,,,6.0,,,93.0
3,"Neade, Jake",4,2,7,11,1.0,,,6.0,,2.0,,4.0,,2.0,,3,7,,1.0,2.0,,1.0,83.0
21,"Polec, Jared",9,1,12,21,,,,3.0,1.0,5.0,2.0,5.0,,1.0,,5,16,,,3.0,2.0,,78.0
2,"Powell-Pepper, Sam",7,1,9,16,2.0,1.0,,5.0,,3.0,2.0,4.0,,,,12,5,1.0,,2.0,,,64.0
4,"Ryder, Paddy",9,4,2,11,2.0,,40.0,1.0,,5.0,5.0,2.0,2.0,1.0,2.0,9,2,2.0,2.0,2.0,,,90.0
12,"Trengove, Jackson",8,2,9,17,,1.0,13.0,1.0,,2.0,5.0,8.0,2.0,2.0,,13,3,1.0,,1.0,,1.0,74.0
39,"Westhoff, Justin",10,5,12,22,,,,5.0,4.0,1.0,2.0,1.0,2.0,,,7,15,,,5.0,,,88.0
16,"Wines, Ollie",18,8,11,29,2.0,2.0,,1.0,1.0,6.0,4.0,3.0,1.0,,3.0,10,18,1.0,2.0,,,2.0,74.0
20,"Wingard, Chad",14,2,5,19,3.0,,,6.0,,3.0,5.0,3.0,1.0,1.0,,8,11,,,1.0,,,83.0
11,"Young, Aaron",2,1,7,9,2.0,,,2.0,,,1.0,1.0,,1.0,,6,4,,1.0,3.0,,,76.0
Totals,Totals,218,82,165,383,18.0,13.0,53.0,66.0,28.0,66.0,46.0,63.0,19.0,19.0,5.0,168,209,15.0,14.0,53.0,8.0,11.0,
Opposition,Opposition,211,96,169,380,12.0,9.0,26.0,66.0,41.0,43.0,35.0,61.0,19.0,18.0,1.0,151,237,3.0,3.0,51.0,2.0,4.0,
