Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
14,"Armstrong, Matt",23y 79d,69 (28-0-41 40.58%),42 (0.61),←,
35,"Athorn, Mark",22y 193d,24 (9-1-14 39.58%),4 (0.17),7 (2-0-5 28.57%),
18,"Blakey, John",23y 299d,86 (37-0-49 43.02%),20 (0.23),←,
5,"Brockhurst, Andrew",25y 274d,37 (14-0-23 37.84%),,←,
49,"Bunn, Mark",19y 207d,3 (1-0-2 33.33%),,←,
40,"Clayton, Scott",30y 187d,149 (72-1-76 48.66%),21 (0.14),←,
36,"Dundas, Matthew",18y 163d,5 (1-0-4 20.00%),4 (0.80),←,
7,"Gale, Michael",23y 149d,63 (25-0-38 39.68%),13 (0.21),←,
6,"Ironmonger, John",29y 92d,71 (31-0-40 43.66%),4 (0.06),26 (8-0-18 30.77%),3 (0.12)
21,"Kappler, Darren",25y 116d,65 (26-0-39 40.00%),35 (0.54),←,
12,"Kickett, Dale",22y 15d,7 (2-0-5 28.57%),6 (0.86),←,
11,"Lynch, Alastair",21y 334d,44 (18-0-26 40.91%),56 (1.27),←,
29,"Lyon, Ross",23y 192d,48 (13-0-35 27.08%),51 (1.06),←,
16,"Matera, Wally",26y 252d,48 (25-0-23 52.08%),53 (1.10),24 (14-0-10 58.33%),27 (1.13)
3,"Pert, Gary",24y 356d,151 (72-0-79 47.68%),41 (0.27),←,
9,"Rendell, Matthew",31y 31d,148 (82-1-65 55.74%),98 (0.66),←,
1,"Roos, Paul",26y 326d,173 (78-0-95 45.09%),175 (1.01),←,
33,"Stephens, Brett",29y 88d,68 (27-0-41 39.71%),21 (0.31),←,
39,"Trewella, Mark",23y 325d,16 (5-0-11 31.25%),4 (0.25),←,
8,"Wynd, Jim",25y 189d,45 (20-0-25 44.44%),16 (0.36),←,
Totals,Totals,24y 321d,1320 (586-3-731 44.39%),664 (0.50),,
C,"Austin, Rod",37y 113d,30 (14-0-16 46.67%),,←,
