Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
14,"Bugg, Tomas",22y 34d,55 (13-0-42 23.64%),13 (0.24),←,
21,"Buntine, Matt",21y 202d,17 (4-0-13 23.53%),,←,
18,"Cameron, Jeremy",22y 38d,57 (10-0-47 17.54%),139 (2.44),←,
3,"Coniglio, Stephen",21y 145d,50 (11-0-39 22.00%),16 (0.32),←,
1,"Davis, Phil",24y 252d,70 (23-0-47 32.86%),6 (0.09),52 (12-0-40 23.08%),5 (0.10)
4,"Greene, Toby",21y 226d,59 (11-0-48 18.64%),23 (0.39),←,
32,"Griffen, Ryan",28y 286d,208 (101-1-106 48.80%),132 (0.63),6 (4-0-2 66.67%),2 (0.33)
19,"Haynes, Nick",22y 356d,33 (7-0-26 21.21%),2 (0.06),←,
33,"Hoskin-Elliott, Will",21y 249d,41 (7-0-34 17.07%),38 (0.93),←,
40,"Kennedy, Adam",22y 301d,55 (8-0-47 14.55%),4 (0.07),←,
25,"McCarthy, Cam",20y 38d,7 (5-0-2 71.43%),16 (2.29),←,
41,"Mumford, Shane",28y 308d,123 (79-2-42 65.04%),44 (0.36),23 (10-0-13 43.48%),5 (0.22)
24,"Patfull, Joel",30y 153d,188 (77-3-108 41.76%),24 (0.13),6 (4-0-2 66.67%),
9,"Scully, Tom",23y 359d,92 (23-1-68 25.54%),29 (0.32),61 (10-0-51 16.39%),23 (0.38)
23,"Shaw, Heath",29y 163d,197 (120-2-75 61.42%),37 (0.19),24 (10-0-14 41.67%),
5,"Shiel, Dylan",22y 61d,56 (11-0-45 19.64%),30 (0.54),←,
10,"Smith, Devon",21y 354d,65 (13-0-52 20.00%),59 (0.91),←,
36,"Stewart, James",21y 66d,7 (4-0-3 57.14%),5 (0.71),←,
17,"Treloar, Adam",22y 61d,64 (13-0-51 20.31%),39 (0.61),←,
8,"Ward, Callan",25y 29d,127 (44-0-83 34.65%),61 (0.48),67 (12-0-55 17.91%),28 (0.42)
6,"Whitfield, Lachie",20y 295d,36 (8-0-28 22.22%),18 (0.50),←,
29,"Williams, Zac",20y 231d,20 (3-0-17 15.00%),4 (0.20),←,
Totals,Totals,23y 175d,1627 (595-9-1023 36.57%),739 (0.45),,
C,"Cameron, Leon",42y 249d,28 (10-0-18 35.71%),,←,
