Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 161d,56 (24-1-31 43.75%),30 (0.54),←,
35,"Baxter, Darren",26y 75d,92 (42-2-48 46.74%),15 (0.16),←,
18,"Cameron, Leon",18y 273d,29 (16-0-13 55.17%),14 (0.48),←,
1,"Charles, Justin",20y 247d,19 (10-0-9 52.63%),10 (0.53),←,
20,"Coleman, Glenn",30y 119d,155 (84-1-70 54.52%),88 (0.57),30 (16-0-14 53.33%),24 (0.80)
22,"Cullen, Mark",22y 252d,33 (14-0-19 42.42%),24 (0.73),←,
26,"Del-Re, Danny",23y 110d,21 (11-0-10 52.38%),31 (1.48),←,
12,"Eppelstun, Greg",24y 198d,89 (45-1-43 51.12%),1 (0.01),←,
32,"Foster, Peter",31y,138 (73-2-63 53.62%),51 (0.37),131 (70-2-59 54.20%),49 (0.37)
19,"Gow, Paul",22y 6d,5 (3-0-2 60.00%),,←,
29,"Grant, Chris",18y 171d,24 (13-0-11 54.17%),56 (2.33),←,
7,"Hawkins, Doug",31y 28d,253 (102-3-148 40.91%),149 (0.59),←,
43,"Hogg, Matthew",22y 163d,53 (23-1-29 44.34%),4 (0.08),←,
10,"Hunter, Mark",25y 272d,49 (21-1-27 43.88%),2 (0.04),←,
31,"Krakouer, Phil",31y 138d,146 (82-3-61 57.19%),231 (1.58),5 (3-0-2 60.00%),7 (1.40)
39,"Liberatore, Tony",25y 111d,47 (27-0-20 57.45%),30 (0.64),←,
27,"Macpherson, Stephen",26y 182d,128 (60-2-66 47.66%),133 (1.04),←,
34,"Sexton, Ben",18y 216d,3 (2-0-1 66.67%),8 (2.67),←,
24,"Wallis, Stephen",26y 218d,177 (90-2-85 51.41%),40 (0.23),←,
15,"Wynd, Scott",21y 128d,45 (20-0-25 44.44%),7 (0.16),←,
Totals,Totals,24y 172d,1562 (762-19-781 48.78%),924 (0.59),,
C,"Wheeler, Terry",36y 81d,32 (17-0-15 53.13%),,←,
