Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
11,"Bowden, Joel",25y 336d,157 (74-0-83 47.13%),137 (0.87),←,
7,"Brown, Nathan",26y 102d,146 (68-3-75 47.60%),224 (1.53),9 (4-0-5 44.44%),18 (2.00)
17,"Campbell, Wayne",31y 242d,264 (121-1-142 46.02%),158 (0.60),←,
6,"Chaffey, Mark",27y 16d,131 (58-0-73 44.27%),28 (0.21),←,
14,"Fiora, Aaron",23y 33d,70 (33-0-37 47.14%),23 (0.33),←,
19,"Fleming, Tim",26y 47d,23 (8-0-15 34.78%),5 (0.22),←,
34,"Fletcher, Simon",25y 279d,88 (42-0-46 47.73%),30 (0.34),4 (3-0-1 75.00%),
2,"Gaspar, Darren",28y 2d,185 (85-0-100 45.95%),20 (0.11),164 (78-0-86 47.56%),19 (0.12)
20,"Hall, Ray",23y 208d,56 (26-0-30 46.43%),24 (0.43),←,
33,"Hartigan, Brent",19y 45d,9 (4-0-5 44.44%),1 (0.11),←,
1,"Hilton, Rory",25y 37d,76 (37-0-39 48.68%),47 (0.62),67 (34-0-33 50.75%),44 (0.66)
31,"Hyde, Chris",21y 287d,17 (4-0-13 23.53%),2 (0.12),←,
28,"Johnson, Kane",26y 68d,133 (66-0-67 49.62%),56 (0.42),29 (11-0-18 37.93%),12 (0.41)
39,"Kellaway, Andrew",28y 181d,134 (61-0-73 45.52%),23 (0.17),←,
27,"Krakouer, Andrew",21y 108d,43 (14-0-29 32.56%),42 (0.98),←,
35,"Newman, Chris",22y 4d,44 (14-0-30 31.82%),6 (0.14),←,
5,"Ottens, Brad",24y 118d,120 (53-0-67 44.17%),140 (1.17),←,
12,"Richardson, Matthew",29y 64d,182 (84-0-98 46.15%),538 (2.96),←,
22,"Roach, Tom",18y 263d,6 (3-0-3 50.00%),1 (0.17),←,
25,"Schulz, Jay",19y 34d,11 (6-0-5 54.55%),5 (0.45),←,
10,"Stafford, Greg",29y 269d,171 (77-1-93 45.32%),108 (0.63),41 (15-0-26 36.59%),50 (1.22)
32,"Tivendale, Greg",25y 33d,112 (49-0-63 43.75%),89 (0.79),←,
Totals,Totals,24y 325d,2178 (987-5-1186 45.32%),1707 (0.78),,
C,"Frawley, Danny",40y 257d,100 (45-0-55 45.00%),,←,
