Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
36,"Aliir, Aliir",2,1,1,3,,,,1.0,,,1.0,,,,,1.0,2.0,,,5.0,,,26.0
23,"Franklin, Lance",7,8,12,19,2,,,1.0,1.0,4.0,,1.0,,,,4.0,15.0,,1.0,3.0,,2.0,95.0
39,"Grundy, Heath",10,6,7,17,,,,3.0,7.0,,,,,,,6.0,12.0,1.0,,8.0,1.0,,98.0
4,"Hannebery, Dan",10,4,19,29,,,,8.0,1.0,1.0,3.0,2.0,1.0,2.0,,9.0,21.0,,,1.0,,,89.0
5,"Heeney, Isaac",20,6,8,28,1,,,7.0,2.0,2.0,6.0,3.0,4.0,,,13.0,11.0,1.0,,4.0,,,87.0
29,"Hewett, George",6,3,4,10,,,,9.0,,3.0,3.0,2.0,1.0,1.0,,5.0,7.0,,,1.0,,,79.0
15,"Jack, Kieren",13,4,7,20,,1.0,,13.0,2.0,5.0,3.0,5.0,2.0,4.0,,11.0,11.0,1.0,1.0,,,1.0,88.0
10,"Jones, Zak",17,1,5,22,,,,4.0,15.0,4.0,3.0,4.0,1.0,2.0,,10.0,11.0,1.0,,1.0,,,84.0
12,"Kennedy, Josh",10,2,15,25,,1.0,,8.0,1.0,2.0,5.0,5.0,,3.0,,15.0,11.0,,,1.0,,,83.0
11,"Laidler, Jeremy",8,3,5,13,,,,2.0,3.0,,2.0,2.0,2.0,,,5.0,7.0,1.0,,5.0,,,81.0
44,"Lloyd, Jake",18,5,7,25,,,,1.0,8.0,2.0,,1.0,,,,5.0,16.0,,,1.0,,,95.0
31,"Marsh, Harrison",3,1,5,8,,,,2.0,,,,1.0,,,,3.0,5.0,,,1.0,,,82.0
21,"McGlynn, Ben",11,3,4,15,1,1.0,,7.0,2.0,3.0,1.0,3.0,2.0,2.0,,9.0,5.0,1.0,,1.0,,1.0,81.0
6,"Mitchell, Tom",8,1,19,27,,,,6.0,2.0,2.0,4.0,2.0,2.0,,,19.0,10.0,,,,,1.0,78.0
35,"Naismith, Sam",3,2,1,4,1,1.0,18.0,9.0,1.0,,,2.0,,2.0,,3.0,2.0,1.0,1.0,4.0,,,73.0
41,"Papley, Tom",5,2,3,8,3,,,5.0,,1.0,,,3.0,,,6.0,3.0,,1.0,1.0,2.0,2.0,75.0
26,"Parker, Luke",7,2,10,17,2,,1.0,6.0,1.0,,5.0,4.0,,3.0,,12.0,7.0,1.0,1.0,,,1.0,79.0
24,"Rampe, Dane",18,11,8,26,,,,4.0,13.0,,,1.0,1.0,,,4.0,21.0,,,11.0,,,97.0
42,"Richards, Xavier",8,4,5,13,1,1.0,,1.0,,3.0,,3.0,,1.0,,4.0,9.0,1.0,1.0,2.0,,,88.0
16,"Rohan, Gary",12,6,6,18,2,1.0,,1.0,2.0,4.0,1.0,1.0,2.0,1.0,,10.0,7.0,1.0,1.0,3.0,,1.0,82.0
40,"Smith, Nick",10,6,6,16,,,,3.0,2.0,2.0,,3.0,,1.0,,4.0,11.0,1.0,,7.0,,,88.0
8,"Tippett, Kurt",8,2,5,13,2,,5.0,1.0,,2.0,3.0,4.0,1.0,2.0,,9.0,5.0,1.0,1.0,1.0,,,74.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,214,83,162,376,15,7.0,24.0,102.0,63.0,40.0,40.0,49.0,22.0,24.0,,167.0,209.0,12.0,8.0,61.0,3.0,9.0,
Opposition,Opposition,173,58,190,363,8,12.0,48.0,81.0,23.0,72.0,34.0,55.0,24.0,22.0,,173.0,196.0,14.0,7.0,49.0,5.0,6.0,
