Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
3,"AhMat, Matthew",17y 311d,6 (0-0-6 0.00%),1 (0.17),←,
22,"Bain, David",26y 1d,65 (14-1-50 22.31%),38 (0.58),←,
25,"Campbell, Matthew",28y 94d,67 (15-1-51 23.13%),21 (0.31),←,
1,"Champion, Richard",24y 19d,24 (3-1-20 14.58%),8 (0.33),←,
12,"Clarke, Troy",22y 330d,17 (2-1-14 14.71%),8 (0.47),←,
34,"Green, Ashley",19y 27d,4 (1-1-2 37.50%),,←,
14,"Hamilton, Shane",21y 259d,42 (13-0-29 30.95%),56 (1.33),15 (1-0-14 6.67%),16 (1.07)
11,"Hutton, John",25y 343d,6 (1-1-4 25.00%),18 (3.00),←,
41,"Kennedy, Matthew",22y 89d,22 (3-0-19 13.64%),2 (0.09),←,
17,"Leslie, Martin",29y 168d,57 (12-1-44 21.93%),4 (0.07),←,
16,"Luhrs, Simon",21y 320d,10 (1-0-9 10.00%),,←,
40,"McLuckie, Steven",19y 81d,5 (1-1-3 30.00%),7 (1.40),←,
24,"Merrett, Roger",32y 14d,233 (117-3-113 50.86%),256 (1.10),84 (20-1-63 24.40%),108 (1.29)
26,"Noonan, Danny",23y 156d,23 (3-1-19 15.22%),10 (0.43),←,
44,"Palfreyman, Nigel",18y 214d,6 (1-1-4 25.00%),2 (0.33),←,
13,"Potter, Craig",26y 105d,46 (23-0-23 50.00%),17 (0.37),4 (1-0-3 25.00%),1 (0.25)
6,"Retzlaff, Brendon",23y 11d,4 (1-1-2 37.50%),,←,
13,"Shephard, Heath",22y 239d,12 (8-0-4 66.67%),17 (1.42),1 (0-0-1 0.00%),1 (1.00)
28,"Windsor, Ray",19y 266d,12 (2-1-9 20.83%),7 (0.58),←,
21,"Zanotti, Mark",27y 177d,87 (26-0-61 29.89%),9 (0.10),51 (9-0-42 17.65%),3 (0.06)
Totals,Totals,23y 216d,748 (247-15-486 33.02%),481 (0.64),,
C,"Walls, Robert",41y 287d,227 (119-2-106 52.86%),,28 (4-1-23 16.07%),
