Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Banks, Denis",30y 323d,143 (81-1-61 56.99%),102 (0.71),←,
17,"Barwick, Doug",28y 88d,121 (63-1-57 52.48%),183 (1.51),45 (28-1-16 63.33%),55 (1.22)
21,"Christian, Michael",25y 257d,63 (32-1-30 51.59%),7 (0.11),←,
28,"Crosisca, Gavin",21y 232d,55 (33-1-21 60.91%),21 (0.38),←,
3,"Gayfer, Michael",24y 261d,71 (39-0-32 54.93%),1 (0.01),←,
14,"Keays, Terry",20y 2d,17 (8-0-9 47.06%),7 (0.41),←,
23,"Kelly, Craig",23y 323d,21 (10-0-11 47.62%),17 (0.81),←,
44,"Kerrison, Shane",25y 38d,73 (40-1-32 55.48%),9 (0.12),←,
30,"Manson, James",23y 184d,68 (36-1-31 53.68%),53 (0.78),←,
34,"McGuane, Mick",22y 127d,45 (25-1-19 56.67%),16 (0.36),←,
5,"McKeown, Ron",22y 360d,67 (34-1-32 51.49%),53 (0.79),←,
42,"Millane, Darren",24y 269d,109 (58-1-50 53.67%),56 (0.51),←,
1,"Monkhorst, Damian",20y 257d,20 (12-0-8 60.00%),1 (0.05),←,
7,"Morwood, Shane",28y 155d,142 (82-1-59 58.10%),78 (0.55),125 (73-1-51 58.80%),65 (0.52)
13,"Richardson, Alan",24y 353d,9 (4-0-5 44.44%),2 (0.22),←,
29,"Russell, Scott",19y 363d,6 (4-0-2 66.67%),2 (0.33),←,
22,"Shaw, Tony",29y 286d,226 (125-1-100 55.53%),134 (0.59),←,
6,"Tuddenham, Paul",22y 233d,27 (15-0-12 55.56%),23 (0.85),←,
24,"Turner, Jamie",27y 266d,107 (57-1-49 53.74%),20 (0.19),←,
19,"Wright, Graham",21y 333d,43 (26-1-16 61.63%),57 (1.33),←,
Totals,Totals,24y 181d,1433 (784-13-636 54.71%),842 (0.59),,
C,"Matthews, Leigh",38y 65d,94 (51-1-42 54.79%),,←,
