Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Carlisle, Jake",3,4.0,5,8,1.0,,,,,,,1.0,,1.0,,3,5,1.0,1.0,1.0,,,85.0
32,"Colyer, Travis",7,2.0,12,19,1.0,,,2.0,3.0,1.0,,2.0,,,,7,12,,,1.0,3.0,,78.0
45,"Crameri, Stewart",3,2.0,14,17,,,,1.0,1.0,1.0,5.0,1.0,2.0,,,9,9,,,,,,79.0
15,"Dempsey, Courtenay",9,3.0,6,15,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,5,10,,1.0,1.0,,,66.0
2,"Dyson, Ricky",8,,7,15,,,,,4.0,1.0,1.0,2.0,,2.0,,1,10,,,1.0,,1.0,92.0
34,"Hardingham, Kyle",1,1.0,4,5,,,,1.0,,,,1.0,,,,2,3,1.0,,,,,90.0
19,"Hille, David",10,3.0,7,17,1.0,1.0,15.0,,2.0,6.0,,,1.0,,,5,12,2.0,1.0,3.0,,,81.0
39,"Hocking, Heath",7,2.0,5,12,,,,2.0,,2.0,1.0,5.0,,1.0,,5,7,,,1.0,,1.0,92.0
26,"Hooker, Cale",4,4.0,7,11,,,,1.0,1.0,,,2.0,,1.0,,2,9,,,3.0,,,98.0
40,"Howlett, Ben",11,3.0,9,20,,,,3.0,3.0,2.0,3.0,3.0,2.0,1.0,,7,15,1.0,,3.0,1.0,,77.0
18,"Hurley, Michael",8,7.0,11,19,,,,1.0,4.0,,1.0,2.0,,2.0,,4,15,1.0,,2.0,,,97.0
14,"Lonergan, Sam",8,,5,13,,,,12.0,1.0,4.0,3.0,3.0,,,,6,7,,,1.0,,,76.0
10,"McVeigh, Mark",8,4.0,4,12,,,,2.0,2.0,2.0,,7.0,,1.0,,2,10,,,,,,96.0
17,"Melksham, Jake",9,4.0,6,15,2.0,,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,7,7,1.0,,3.0,,,82.0
6,"Monfries, Angus",7,6.0,8,15,2.0,,,1.0,,1.0,,2.0,,1.0,,9,6,3.0,4.0,1.0,,1.0,89.0
1,"Neagle, Jay",4,3.0,3,7,1.0,1.0,,1.0,,3.0,,,,,,4,3,1.0,1.0,,,,93.0
37,"Reimers, Kyle",11,2.0,5,16,,1.0,,1.0,,3.0,2.0,3.0,2.0,1.0,,9,9,,,3.0,2.0,,82.0
30,"Ryder, Paddy",7,5.0,4,11,1.0,,26.0,3.0,,2.0,4.0,1.0,1.0,,,9,2,3.0,1.0,2.0,,,81.0
20,"Slattery, Henry",4,4.0,8,12,,,,4.0,,2.0,1.0,2.0,,,,5,7,,,1.0,,1.0,80.0
5,"Stanton, Brent",13,3.0,12,25,,,,3.0,3.0,5.0,2.0,4.0,2.0,,,6,18,,,1.0,1.0,1.0,85.0
4,"Watson, Jobe",2,3.0,28,30,,,,3.0,3.0,1.0,8.0,,1.0,,,17,13,,,1.0,,1.0,83.0
11,"Zaharakis, David",5,1.0,5,10,,,,,1.0,3.0,1.0,2.0,,,,3,7,,,1.0,,1.0,19.0
Totals,Totals,149,66.0,175,324,10.0,4.0,41.0,44.0,30.0,43.0,35.0,47.0,13.0,13.0,,127,196,14.0,9.0,30.0,7.0,7.0,
Opposition,Opposition,231,118.0,182,413,24.0,18.0,29.0,73.0,32.0,60.0,31.0,35.0,13.0,13.0,6.0,133,271,21.0,25.0,57.0,27.0,19.0,
