Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
9,"Acres, Blake",25y 276d,98 (40-1-57 41.33%),31 (0.32),23 (11-0-12 47.83%),2 (0.09)
11,"Aish, James",25y 244d,114 (47-0-67 41.23%),24 (0.21),32 (14-0-18 43.75%),1 (0.03)
41,"Banfield, Bailey",23y 134d,33 (12-0-21 36.36%),12 (0.36),←,
19,"Blakely, Connor",25y 130d,74 (30-0-44 40.54%),3 (0.04),←,
8,"Brayshaw, Andrew",21y 244d,71 (29-0-42 40.85%),19 (0.27),←,
5,"Cerra, Adam",21y 276d,71 (30-0-41 42.25%),13 (0.18),←,
33,"Colyer, Travis",29y 320d,122 (58-1-63 47.95%),71 (0.58),35 (15-0-20 42.86%),17 (0.49)
4,"Darcy, Sean",23y 28d,56 (22-0-34 39.29%),21 (0.38),←,
7,"Fyfe, Nat",29y 295d,200 (105-1-94 52.75%),164 (0.82),←,
23,"Henry, Liam",19y 316d,14 (5-0-9 35.71%),9 (0.64),←,
37,"Lobb, Rory",28y 151d,118 (62-2-54 53.39%),107 (0.91),44 (20-0-24 45.45%),43 (0.98)
2,"Logue, Griffin",23y 88d,38 (14-0-24 36.84%),1 (0.03),←,
16,"Mundy, David",35y 355d,348 (175-1-172 50.43%),154 (0.44),←,
25,"Pearce, Alex",26y 31d,58 (25-0-33 43.10%),3 (0.05),←,
13,"Ryan, Luke",25y 154d,79 (33-0-46 41.77%),3 (0.04),←,
28,"Schultz, Lachie",23y 222d,39 (16-0-23 41.03%),33 (0.85),←,
3,"Serong, Caleb",20y 151d,30 (15-0-15 50.00%),7 (0.23),←,
39,"Switkowski, Sam",24y 232d,29 (12-0-17 41.38%),15 (0.52),←,
35,"Treacy, Josh",18y 340d,10 (7-0-3 70.00%),10 (1.00),←,
18,"Tucker, Darcy",24y 168d,88 (28-0-60 31.82%),33 (0.38),←,
31,"Walker, Brandon",18y 266d,4 (3-0-1 75.00%),,←,
10,"Walters, Michael",30y 184d,179 (87-1-91 48.88%),289 (1.61),←,
14,"Wilson, Nathan",28y 184d,145 (69-2-74 48.28%),18 (0.12),68 (29-0-39 42.65%),2 (0.03)
Totals,Totals,25y 2d,2018 (924-9-1085 45.79%),1040 (0.52),,
C,"Longmuir, Justin",40y 170d,33 (15-0-18 45.45%),,←,
