Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ainsworth, Ben",22y 189d,53 (10-1-42 19.81%),38 (0.72),←,
15,"Anderson, Noah",19y 182d,12 (4-1-7 37.50%),3 (0.25),←,
10,"Ballard, Charlie",21y 25d,43 (8-1-34 19.77%),1 (0.02),←,
3,"Bowes, Jack",22y 204d,54 (12-1-41 23.15%),13 (0.24),←,
35,"Budarick, Connor",19y 133d,12 (4-1-7 37.50%),1 (0.08),←,
25,"Collins, Sam",26y 63d,35 (10-1-24 30.00%),,21 (7-1-13 35.71%),
19,"Corbett, Josh",24y 116d,11 (0-1-10 4.55%),3 (0.27),←,
12,"Day, Sam",27y 346d,132 (36-2-94 28.03%),94 (0.71),←,
4,"Ellis, Brandon",27y 14d,187 (112-2-73 60.43%),62 (0.33),11 (3-1-7 31.82%),4 (0.36)
8,"Fiorini, Brayden",22y 361d,52 (10-1-41 20.19%),18 (0.35),←,
26,"Flanders, Sam",19y 24d,2 (0-1-1 25.00%),1 (0.50),←,
46,"Graham, Caleb",19y 340d,5 (0-0-5 0.00%),,←,
21,"Greenwood, Hugh",28y 164d,63 (34-2-27 55.56%),38 (0.60),12 (4-1-7 37.50%),2 (0.17)
39,"Holman, Nick",25y 80d,54 (12-0-42 22.22%),23 (0.43),45 (11-0-34 24.44%),23 (0.51)
34,"King, Ben",20y 41d,26 (4-1-21 17.31%),36 (1.38),←,
13,"Lukosius, Jack",20y 8d,33 (7-1-25 22.73%),6 (0.18),←,
11,"Miller, Touk",24y 177d,112 (24-2-86 22.32%),31 (0.28),←,
27,"Powell, Wil",20y 357d,30 (8-1-21 28.33%),11 (0.37),←,
22,"Rankine, Izak",20y 116d,7 (1-1-5 21.43%),9 (1.29),←,
6,"Sexton, Alex",26y 258d,129 (32-0-97 24.81%),119 (0.92),←,
14,"Weller, Lachie",24y 176d,98 (24-1-73 25.00%),33 (0.34),51 (10-1-40 20.59%),16 (0.31)
28,"Witts, Jarrod",27y 339d,114 (35-1-78 31.14%),25 (0.22),74 (17-1-56 23.65%),7 (0.09)
Totals,Totals,23y 86d,1264 (387-23-854 30.62%),565 (0.45),,
C,"Dew, Stuart",40y 365d,56 (11-1-44 20.54%),,←,
