Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
14,"Birchall, Grant",26y 151d,183 (122-1-60 66.94%),27 (0.15),←,
22,"Breust, Luke",23y 229d,80 (66-0-14 82.50%),153 (1.91),←,
9,"Burgoyne, Shaun",31y 250d,258 (175-1-82 68.02%),229 (0.89),101 (78-1-22 77.72%),58 (0.57)
18,"Ceglar, Jonathon",23y 134d,10 (8-0-2 80.00%),5 (0.50),←,
8,"Duryea, Taylor",23y 65d,32 (27-0-5 84.38%),2 (0.06),←,
19,"Gunston, Jack",22y 255d,69 (50-0-19 72.46%),135 (1.96),55 (45-0-10 81.82%),115 (2.09)
20,"Hale, David",30y 37d,210 (120-2-88 57.62%),192 (0.91),81 (64-0-17 79.01%),73 (0.90)
10,"Hill, Bradley",20y 354d,43 (36-0-7 83.72%),28 (0.65),←,
15,"Hodge, Luke",30y 13d,240 (137-1-102 57.29%),161 (0.67),←,
17,"Lake, Brian",32y 121d,222 (113-2-107 51.35%),34 (0.15),25 (23-0-2 92.00%),2 (0.08)
3,"Lewis, Jordan",28y 65d,206 (126-1-79 61.41%),115 (0.56),←,
31,"Dewar, Angus",21y 259d,8 (8-0-0 100.00%),,←,
28,"Puopolo, Paul",26y 208d,77 (63-0-14 81.82%),57 (0.74),←,
33,"Rioli, Cyril",24y 349d,132 (91-1-40 69.32%),179 (1.36),←,
2,"Roughead, Jarryd",27y 156d,197 (124-1-72 63.20%),404 (2.05),←,
25,"Schoenmakers, Ryan",23y 232d,72 (44-0-28 61.11%),11 (0.15),←,
12,"Sewell, Brad",30y 146d,196 (119-1-76 60.97%),31 (0.16),←,
26,"Shiels, Liam",23y 60d,91 (67-0-24 73.63%),27 (0.30),←,
16,"Smith, Isaac",25y 180d,76 (63-0-13 82.89%),71 (0.93),←,
27,"Spangher, Matthew",27y 66d,42 (21-0-21 50.00%),13 (0.31),10 (10-0-0 100.00%),2 (0.20)
24,"Stratton, Ben",25y 119d,82 (58-1-23 71.34%),1 (0.01),←,
4,"Suckling, Matt",25y 338d,68 (49-0-19 72.06%),34 (0.50),←,
Totals,Totals,26y 39d,2594 (1687-12-895 65.03%),1909 (0.74),,
C,"Bolton, Brendon",35y 71d,5 (5-0-0 100.00%),,←,
