Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
13,"Boston, Andrew",21y 75d,10 (2-0-8 20.00%),7 (0.70),←,
31,"Brooksby, Keegan",25y 40d,2 (0-0-2 0.00%),1 (0.50),←,
36,"Broughton, Greg",28y 250d,109 (45-0-64 41.28%),19 (0.17),41 (16-0-25 39.02%),4 (0.10)
27,"Cameron, Clay",21y 10d,11 (2-0-9 18.18%),1 (0.09),←,
14,"Hallahan, Mitch",22y 287d,13 (3-0-10 23.08%),3 (0.23),7 (0-0-7 0.00%),1 (0.14)
5,"Harbrow, Jarrod",26y 323d,156 (65-1-90 41.99%),47 (0.30),86 (25-0-61 29.07%),26 (0.30)
28,"Kolodjashnij, Kade",19y 301d,28 (8-0-20 28.57%),6 (0.21),←,
40,"Lemmens, Sean",20y 216d,27 (10-0-17 37.04%),5 (0.19),←,
37,"Lonergan, Jesse",20y 204d,19 (5-0-14 26.32%),2 (0.11),←,
19,"Lynch, Tom",22y 218d,68 (19-0-49 27.94%),94 (1.38),←,
32,"Matera, Brandon",23y 87d,62 (18-0-44 29.03%),68 (1.10),←,
17,"May, Steven",23y 147d,60 (19-0-41 31.67%),15 (0.25),←,
18,"McKenzie, Trent",23y 64d,84 (24-0-60 28.57%),20 (0.24),←,
44,"Miller, Touk",19y 104d,10 (1-0-9 10.00%),3 (0.30),←,
22,"Nicholls, Tom",23y 94d,22 (7-0-15 31.82%),5 (0.23),←,
29,"Raines, Andrew",29y 90d,127 (43-1-83 34.25%),15 (0.12),4 (0-0-4 0.00%),
35,"Rischitelli, Michael",29y 149d,188 (68-3-117 36.97%),83 (0.44),77 (19-0-58 24.68%),36 (0.47)
8,"Russell, Luke",23y 133d,60 (14-0-46 23.33%),24 (0.40),←,
42,"Saad, Adam",20y 318d,9 (1-0-8 11.11%),1 (0.11),←,
20,"Schade, Henry",21y 241d,6 (1-0-5 16.67%),,←,
25,"Stanley, Danny",27y 108d,84 (24-0-60 28.57%),38 (0.45),79 (23-0-56 29.11%),38 (0.48)
30,"Wright, Peter",18y 271d,1 (0-0-1 0.00%),1 (1.00),←,
Totals,Totals,23y 103d,1156 (379-5-772 32.79%),458 (0.40),,
C,"Eade, Rodney",57y 63d,324 (170-4-150 53.09%),,10 (1-0-9 10.00%),
