Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Adams, Marcus",13,10,4,17,,,,1.0,4.0,3.0,,3.0,,2.0,,5.0,13.0,3.0,,5.0,,2.0,97.0
4,"Ah Chee, Callum",9,4,11,20,1,,,,1.0,3.0,,3.0,3.0,2.0,,11.0,11.0,1.0,,1.0,,,80.0
31,"Andrews, Harris",8,7,6,14,,,,1.0,1.0,,,,,,,7.0,6.0,2.0,,8.0,,,100.0
43,"Answerth, Noah",10,5,10,20,,,,2.0,1.0,4.0,,1.0,1.0,1.0,,7.0,15.0,2.0,,1.0,,,83.0
33,"Bailey, Zac",13,2,4,17,4,1.0,,4.0,3.0,4.0,3.0,4.0,1.0,1.0,,8.0,10.0,,2.0,3.0,,1.0,84.0
7,"Berry, Jarrod",13,5,8,21,,1.0,,5.0,3.0,3.0,1.0,5.0,,1.0,,4.0,17.0,,,5.0,,1.0,76.0
23,"Cameron, Charlie",13,10,4,17,2,6.0,,4.0,,,,3.0,,1.0,,7.0,9.0,3.0,8.0,3.0,,,84.0
12,"Cockatoo, Nakia",9,4,7,16,1,1.0,,1.0,,5.0,1.0,2.0,1.0,1.0,,8.0,8.0,,1.0,1.0,,2.0,78.0
3,"Daniher, Joe",13,9,2,15,3,1.0,,2.0,,4.0,1.0,3.0,,1.0,,3.0,12.0,,4.0,1.0,2.0,1.0,86.0
32,"Fort, Darcy",6,2,5,11,1,,15.0,5.0,,2.0,2.0,2.0,1.0,1.0,,8.0,5.0,1.0,1.0,5.0,,1.0,82.0
27,"Gardiner, Darcy",10,10,4,14,,,,1.0,1.0,,1.0,,,,,3.0,10.0,3.0,1.0,5.0,,,88.0
17,"Lyons, Jarryd",24,8,4,28,2,,,2.0,3.0,9.0,6.0,2.0,1.0,1.0,3.0,7.0,19.0,,2.0,2.0,1.0,4.0,68.0
11,"McCarthy, Lincoln",12,8,3,15,5,1.0,,2.0,,5.0,,1.0,,1.0,1.0,5.0,10.0,1.0,5.0,1.0,,,77.0
6,"McCluggage, Hugh",21,6,8,29,,1.0,,4.0,,8.0,4.0,6.0,1.0,2.0,,8.0,21.0,,,1.0,1.0,1.0,83.0
46,"McInerney, Oscar",5,1,7,12,1,,11.0,2.0,,2.0,7.0,2.0,2.0,,,12.0,1.0,1.0,,2.0,,,76.0
25,"McStay, Daniel",9,6,5,14,2,2.0,1.0,3.0,,5.0,,1.0,2.0,,,9.0,7.0,1.0,1.0,,,1.0,91.0
9,"Neale, Lachie",12,1,15,27,,,,4.0,1.0,5.0,5.0,2.0,1.0,,,13.0,13.0,,,,,2.0,84.0
16,"Rayner, Cam",8,4,8,16,,3.0,,2.0,1.0,3.0,2.0,3.0,2.0,1.0,,7.0,9.0,,1.0,1.0,,1.0,71.0
10,"Rich, Daniel",16,6,5,21,,,,1.0,8.0,3.0,2.0,2.0,,,,5.0,11.0,1.0,,2.0,,,78.0
5,"Robinson, Mitch",8,4,4,12,1,,,3.0,2.0,3.0,2.0,2.0,1.0,1.0,,5.0,7.0,,,,,,81.0
22,"Sharp, Harry",,,,,,,,,,,,,,,,,,,,,,,
37,"Starcevich, Brandon",9,5,5,14,,,,1.0,2.0,1.0,1.0,,1.0,,,8.0,6.0,1.0,,5.0,,,84.0
15,"Zorko, Dayne",22,10,6,28,,,,,2.0,6.0,1.0,3.0,1.0,1.0,2.0,6.0,23.0,,,3.0,,,71.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,263,127,135,398,23,18.0,27.0,50.0,33.0,78.0,39.0,50.0,19.0,18.0,6.0,156.0,243.0,20.0,26.0,55.0,4.0,17.0,
Opposition,Opposition,185,66,131,316,7,6.0,42.0,45.0,53.0,40.0,46.0,66.0,18.0,19.0,,118.0,184.0,5.0,5.0,52.0,6.0,3.0,
