Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Adcock, Jed",9,6,11,20,,,,7.0,2.0,2.0,1.0,,,,,4.0,16.0,,,2.0,,,82.0
43,"Bewick, Rohan",8,3,5,13,1,,,3.0,,2.0,1.0,1.0,1.0,1.0,,4.0,9.0,1.0,1.0,,,1.0,79.0
20 ↓,"Black, Simon",6,,6,12,,,,3.0,1.0,1.0,1.0,2.0,,1.0,,5.0,6.0,,,,,1.0,52.0
16,"Brown, Jonathan",9,10,5,14,2,,,2.0,,1.0,,4.0,1.0,2.0,,3.0,11.0,,3.0,2.0,1.0,,98.0
44,"Cornelius, Aaron",8,5,2,10,4,,,,,2.0,,2.0,2.0,1.0,,5.0,5.0,2.0,3.0,,,1.0,79.0
39,"Drummond, Josh",14,6,5,19,,,,1.0,5.0,1.0,,,,,,5.0,11.0,,,4.0,,,85.0
41,"Golby, Mitch",16,6,9,25,,,,4.0,4.0,2.0,,6.0,2.0,3.0,,7.0,19.0,,,3.0,,1.0,94.0
6,"Green, Josh",9,2,1,10,2,,,4.0,,3.0,2.0,2.0,2.0,1.0,,5.0,5.0,,1.0,,,,85.0
11,"Hanley, Pearce",17,8,4,21,,,1.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,,8.0,11.0,,,5.0,,,89.0
35 ↑,"Lester, Ryan",2,3,4,6,,,,,3.0,,,,,,,2.0,5.0,,,2.0,,,37.0
5,"Longer, Billy",2,3,4,6,,,31.0,5.0,,1.0,1.0,2.0,,,,1.0,5.0,,,2.0,,1.0,83.0
36,"Maguire, Matt",8,5,5,13,,,,4.0,6.0,,1.0,,1.0,,,4.0,9.0,,,10.0,,,98.0
9,"McGrath, Ashley",13,5,8,21,,2.0,,2.0,1.0,5.0,1.0,1.0,,1.0,,7.0,13.0,1.0,,3.0,4.0,,89.0
21,"Merrett, Daniel",8,5,3,11,1,1.0,5.0,1.0,,3.0,,2.0,,,,3.0,7.0,,,2.0,,1.0,82.0
24,"Patfull, Joel",6,5,5,11,,,,6.0,4.0,1.0,,3.0,1.0,3.0,,5.0,6.0,,,10.0,,,98.0
31,"Polkinghorne, James",9,2,5,14,,,,1.0,,4.0,2.0,5.0,,,,7.0,8.0,,,,,2.0,91.0
29,"Raines, Andrew",8,2,6,14,,,,3.0,2.0,1.0,2.0,3.0,,1.0,,4.0,10.0,,,1.0,,,87.0
30,"Redden, Jack",16,9,9,25,2,,3.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,9.0,16.0,1.0,1.0,1.0,,1.0,88.0
10,"Rich, Daniel",16,3,5,21,1,,,5.0,,6.0,3.0,2.0,2.0,,,8.0,13.0,,1.0,,,,78.0
38,"Rockliff, Tom",9,4,13,22,1,,,2.0,3.0,1.0,7.0,1.0,,1.0,,13.0,9.0,,,1.0,,,77.0
26,"Yeo, Elliot",7,3,9,16,,1.0,,1.0,3.0,4.0,2.0,5.0,1.0,,,8.0,8.0,,,3.0,,,72.0
15,"Zorko, Dayne",8,4,6,14,1,,,9.0,,2.0,2.0,1.0,4.0,,,9.0,6.0,,,1.0,,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,208,99,130,338,15,6.0,40.0,72.0,40.0,46.0,31.0,46.0,20.0,18.0,1.0,126.0,208.0,5.0,10.0,52.0,5.0,9.0,
Opposition,Opposition,212,79,170,382,17,10.0,50.0,45.0,30.0,60.0,50.0,43.0,18.0,20.0,5.0,160.0,223.0,11.0,11.0,56.0,19.0,6.0,
