Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
21,"Berry, Sam",20y 85d,21 (8-0-13 38.10%),5 (0.24),←,
16,"Brown, Luke",29y 228d,186 (95-1-90 51.34%),13 (0.07),←,
41,"Butts, Jordon",22y 128d,32 (11-0-21 34.38%),,←,
15,"Cook, Brayden",19y 294d,10 (4-0-6 40.00%),3 (0.30),←,
12,"Dawson, Jordan",25y 29d,72 (33-0-39 45.83%),39 (0.54),8 (3-0-5 37.50%),5 (0.63)
39,"Doedee, Tom",25y 68d,59 (21-0-38 35.59%),3 (0.05),←,
22,"Frampton, Billy",25y 169d,24 (10-0-14 41.67%),12 (0.50),21 (9-0-12 42.86%),8 (0.38)
44,"Gollant, Lachlan",20y 238d,8 (4-0-4 50.00%),8 (1.00),←,
17,"Hamill, Will",21y 172d,27 (6-0-21 22.22%),,←,
6,"Hately, Jackson",21y 199d,19 (6-0-13 31.58%),3 (0.16),6 (1-0-5 16.67%),1 (0.17)
34,"Himmelberg, Elliott",23y 338d,35 (12-0-23 34.29%),37 (1.06),←,
20,"Hinge, Mitch",23y 316d,9 (4-0-5 44.44%),2 (0.22),6 (2-0-4 33.33%),1 (0.17)
1,"Jones, Chayce",22y 114d,46 (11-0-35 23.91%),10 (0.22),←,
2,"Keays, Ben",25y 74d,76 (19-0-57 25.00%),28 (0.37),46 (13-0-33 28.26%),17 (0.37)
29,"Laird, Rory",28y 130d,188 (97-1-90 51.86%),19 (0.10),←,
23,"McAdam, Shane",26y 345d,32 (11-0-21 34.38%),43 (1.34),←,
4,"Murphy, Lachlan",23y 155d,65 (26-0-39 40.00%),48 (0.74),←,
43,"OBrien, Reilly",26y 261d,65 (23-0-42 35.38%),6 (0.09),←,
8,"Rachele, Josh",19y 27d,8 (3-0-5 37.50%),13 (1.63),←,
31,"Rowe, James",22y 233d,25 (8-0-17 32.00%),20 (0.80),←,
26,"Schoenberg, Harry",21y 76d,36 (11-0-25 30.56%),16 (0.44),←,
38,"Sholl, Lachlan",22y 62d,35 (12-0-23 34.29%),9 (0.26),←,
13,"Walker, Taylor",32y 13d,225 (116-1-108 51.78%),505 (2.24),←,
Totals,Totals,23y 322d,1303 (551-3-749 42.29%),842 (0.65),,
C,"Burns, Scott",47y 136d,1 (0-0-1 0.00%),,←,
