Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 212d,93 (58-0-35 62.37%),140 (1.51),55 (40-0-15 72.73%),85 (1.55)
14,"Anderson, Brady",24y 321d,27 (19-0-8 70.37%),2 (0.07),←,
26,"Bell, Peter",24y 58d,108 (74-0-34 68.52%),105 (0.97),106 (74-0-32 69.81%),103 (0.97)
12,"Blakey, John",33y 279d,307 (166-0-141 54.07%),99 (0.32),172 (114-0-58 66.28%),61 (0.35)
22,"Burton, Matthew",29y 345d,76 (25-0-51 32.89%),34 (0.45),6 (3-0-3 50.00%),2 (0.33)
23,"Clayton, Shane",21y 187d,51 (27-0-24 52.94%),16 (0.31),33 (25-0-8 75.76%),15 (0.45)
19,"Dhurrkay, Gary",26y 55d,69 (32-0-37 46.38%),63 (0.91),18 (12-0-6 66.67%),17 (0.94)
6,"Grant, Shannon",23y 9d,115 (74-1-40 64.78%),136 (1.18),57 (42-0-15 73.68%),98 (1.72)
29,"Harvey, Brent",21y 350d,72 (51-0-21 70.83%),78 (1.08),←,
21,"Hewitt, Evan",21y 296d,30 (18-0-12 60.00%),21 (0.70),←,
34,"King, David",28y 52d,140 (95-0-45 67.86%),54 (0.39),←,
27,"Lange, Adam",21y 107d,13 (8-0-5 61.54%),12 (0.92),←,
35,"Makepeace, Troy",21y 53d,5 (4-0-1 80.00%),2 (0.40),←,
4,"Martyn, Mick",31y 241d,247 (148-1-98 60.12%),14 (0.06),←,
5,"McCartney, Jason",26y 45d,129 (73-0-56 56.59%),52 (0.40),54 (39-0-15 72.22%),4 (0.07)
31,"McKernan, Corey",26y 131d,145 (101-0-44 69.66%),170 (1.17),←,
44,"Motlop, Shannon",21y 254d,13 (10-0-3 76.92%),11 (0.85),←,
28,"Pickett, Byron",22y 261d,59 (43-0-16 72.88%),2 (0.03),←,
13,"Pike, Martin",27y 166d,128 (62-0-66 48.44%),56 (0.44),68 (50-0-18 73.53%),16 (0.24)
24,"Sholl, Craig",32y 120d,225 (136-0-89 60.44%),152 (0.68),←,
7,"Simpson, Adam",24y 72d,98 (72-0-26 73.47%),37 (0.38),←,
36,"Watt, Shannon",19y 154d,6 (5-0-1 83.33%),1 (0.17),←,
Totals,Totals,25y 88d,2156 (1301-2-853 60.34%),1257 (0.58),,
C,"Pagan, Denis",52y 217d,178 (119-0-59 66.85%),,←,
