Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 83d,22 (13-0-9 59.09%),18 (0.82),←,
10,"Ashcroft, Marcus",24y 235d,135 (43-1-91 32.22%),79 (0.59),←,
17,"Bartlett, Trent",19y 173d,16 (11-0-5 68.75%),1 (0.06),←,
25,"Bews, Andrew",31y 303d,252 (132-1-119 52.58%),134 (0.53),45 (22-0-23 48.89%),2 (0.04)
1,"Champion, Richard",28y 33d,102 (34-1-67 33.82%),34 (0.33),←,
16,"Clarke, Matthew",22y 242d,52 (26-0-26 50.00%),6 (0.12),←,
14,"Dickfos, Danny",25y 230d,8 (7-0-1 87.50%),,←,
6,"Fletcher, Adrian",26y 220d,114 (53-0-61 46.49%),61 (0.54),69 (28-0-41 40.58%),41 (0.59)
8,"Gowers, Andrew",27y 36d,112 (70-0-42 62.50%),55 (0.49),23 (11-0-12 47.83%),1 (0.04)
27,"Keating, Clark",20y 59d,3 (3-0-0 100.00%),,←,
41,"Kennedy, Matthew",26y 103d,97 (30-0-67 30.93%),23 (0.24),←,
18,"Lambert, Craig",27y 225d,160 (51-0-109 31.88%),68 (0.43),37 (18-0-19 48.65%),15 (0.41)
44,"Lappin, Nigel",19y 331d,44 (22-0-22 50.00%),33 (0.75),←,
23,"Leppitsch, Justin",20y 229d,32 (15-0-17 46.88%),33 (1.03),←,
11,"Lynch, Alastair",27y 333d,140 (55-0-85 39.29%),232 (1.66),20 (11-0-9 55.00%),59 (2.95)
42,"Lynch, Tristan",22y 269d,7 (6-0-1 85.71%),1 (0.14),←,
4,"McRae, Craig",22y 238d,27 (14-0-13 51.85%),34 (1.26),←,
22,"Scott, Chris",20y 14d,41 (20-0-21 48.78%),20 (0.49),←,
38,"Scott, Dion",26y 46d,49 (22-0-27 44.90%),33 (0.67),43 (21-0-22 48.84%),33 (0.77)
3,"Voss, Michael",20y 315d,63 (28-0-35 44.44%),56 (0.89),←,
33,"White, Darryl",22y 340d,76 (30-1-45 40.13%),85 (1.12),←,
Totals,Totals,23y 350d,1552 (685-4-863 44.14%),1006 (0.65),,
C,"Northey, John",52y 323d,264 (135-2-127 51.52%),,8 (7-0-1 87.50%),
