Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
10,"Brayshaw, Angus",24y 238d,94 (42-0-52 44.68%),42 (0.45),←,
38,"Brown, Mitch",30y 6d,73 (35-0-38 47.95%),70 (0.96),3 (1-0-2 33.33%),2 (0.67)
31,"Fritsch, Bayley",23y 272d,58 (27-0-31 46.55%),54 (0.93),←,
11,"Gawn, Max",28y 248d,131 (51-0-80 38.93%),59 (0.45),←,
4,"Harmes, James",24y 334d,104 (48-0-56 46.15%),58 (0.56),←,
2,"Jones, Nathan",32y 227d,294 (93-3-198 32.14%),139 (0.47),←,
15,"Langdon, Ed",24y 215d,82 (32-0-50 39.02%),35 (0.43),14 (7-0-7 50.00%),2 (0.14)
8,"Lever, Jake",24y 182d,89 (53-0-36 59.55%),3 (0.03),33 (15-0-18 45.45%),
1,"May, Steven",28y 237d,145 (47-1-97 32.76%),23 (0.16),22 (9-0-13 40.91%),2 (0.09)
28,"McDonald, Oscar",24y 169d,81 (42-0-39 51.85%),1 (0.01),←,
18,"Melksham, Jake",29y 5d,182 (88-1-93 48.63%),140 (0.77),68 (36-0-32 52.94%),83 (1.22)
30,"Neal-Bullen, Alex",24y 238d,77 (37-0-40 48.05%),61 (0.79),←,
13,"Oliver, Clayton",23y 43d,96 (47-0-49 48.96%),29 (0.30),←,
5,"Petracca, Christian",24y 243d,99 (46-0-53 46.46%),92 (0.93),←,
24,"Rivers, Trent",19y 35d,6 (3-0-3 50.00%),,←,
3,"Salem, Christian",25y 50d,103 (44-0-59 42.72%),20 (0.19),←,
44,"Smith, Joel",24y 191d,15 (6-0-9 40.00%),1 (0.07),←,
9,"Spargo, Charlie",20y 283d,32 (18-0-14 56.25%),22 (0.69),←,
20,"Tomlinson, Adam",27y 24d,150 (66-3-81 45.00%),35 (0.23),10 (5-0-5 50.00%),
7,"Viney, Jack",26y 143d,132 (46-0-86 34.85%),36 (0.27),←,
42,"Wagner, Josh",26y 71d,42 (18-0-24 42.86%),2 (0.05),←,
26,"Weideman, Sam",23y 69d,41 (21-0-20 51.22%),45 (1.10),←,
Totals,Totals,25y 177d,2126 (910-8-1208 42.80%),967 (0.45),,
C,"Goodwin, Simon",43y 252d,84 (40-0-44 47.62%),,83 (40-0-43 48.19%),
