Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
15,"Abraham, Winston",22y 321d,36 (18-0-18 50.00%),52 (1.44),←,
18,"Brown, Michael",20y 330d,13 (4-0-9 30.77%),9 (0.69),←,
33,"Burrows, Craig",24y 239d,20 (8-0-12 40.00%),23 (1.15),←,
24,"Burton, Matthew",27y 89d,42 (17-0-25 40.48%),16 (0.38),←,
42,"Callaghan, Craig",21y 160d,46 (15-0-31 32.61%),28 (0.61),←,
31,"Clement, James",20y 346d,31 (12-0-19 38.71%),5 (0.16),←,
19,"Dhurrkay, Gary",23y 165d,39 (16-0-23 41.03%),41 (1.05),←,
37,"Gale, Mark",21y 101d,19 (8-0-11 42.11%),4 (0.21),←,
3,"Harding, Greg",20y 333d,36 (16-0-20 44.44%),1 (0.03),←,
14,"Hunter, Kingsley",22y 81d,28 (11-0-17 39.29%),63 (2.25),←,
38,"Jones, Anthony",22y 240d,37 (15-0-22 40.54%),1 (0.03),←,
11,"Kickett, Dale",29y 104d,107 (48-0-59 44.86%),47 (0.44),61 (25-0-36 40.98%),7 (0.11)
36,"Leach, Quenton",24y 361d,51 (20-0-31 39.22%),26 (0.51),←,
17,"Madigan, Greg",27y 204d,66 (36-0-30 54.55%),6 (0.09),26 (9-0-17 34.62%),2 (0.08)
9,"Mann, Peter",26y 343d,95 (39-0-56 41.05%),90 (0.95),56 (21-0-35 37.50%),78 (1.39)
43,"McGovern, Andrew",29y 131d,63 (23-1-39 37.30%),8 (0.13),43 (19-0-24 44.19%),1 (0.02)
45,"Mitchell, Gavin",24y 231d,34 (13-0-21 38.24%),17 (0.50),←,
23,"Parker, Shane",24y 179d,43 (18-0-25 41.86%),3 (0.07),←,
40,"Sinclair, Jess",18y 355d,8 (3-0-5 37.50%),3 (0.38),←,
26,"Waterhouse, Clive",23y 54d,24 (11-0-13 45.83%),27 (1.13),←,
4,"Wills, Andrew",25y 225d,108 (62-0-46 57.41%),99 (0.92),49 (22-0-27 44.90%),56 (1.14)
Totals,Totals,23y 358d,946 (413-1-532 43.66%),569 (0.60),,
C,"Neesham, Gerard",42y 248d,64 (25-0-39 39.06%),,←,
