Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
12,"Astbury, David",25y 43d,44 (15-2-27 36.36%),8 (0.18),←,
25,"Chaplin, Troy",30y 46d,208 (97-1-110 46.88%),14 (0.07),68 (42-0-26 61.76%),4 (0.06)
9,"Cotchin, Trent",26y 2d,156 (77-2-77 50.00%),92 (0.59),←,
10,"Edwards, Shane",27y 167d,170 (73-5-92 44.41%),116 (0.68),←,
5,"Ellis, Brandon",22y 250d,91 (51-1-39 56.59%),34 (0.37),←,
32,"Ellis, Corey",19y 183d,9 (5-0-4 55.56%),4 (0.44),←,
6,"Grigg, Shaun",27y 356d,149 (73-2-74 49.66%),69 (0.46),106 (55-2-49 52.83%),59 (0.56)
16,"Hampson, Shaun",28y 19d,81 (40-1-40 50.00%),34 (0.42),18 (6-0-12 33.33%),2 (0.11)
14,"Houli, Bachar",27y 333d,140 (70-3-67 51.07%),33 (0.24),114 (60-2-52 53.51%),24 (0.21)
23,"Lambert, Kane",24y 135d,16 (10-0-6 62.50%),12 (0.75),←,
7,"Lennon, Ben",20y 279d,17 (9-0-8 52.94%),8 (0.47),←,
27,"Lloyd, Sam",26y 37d,23 (12-0-11 52.17%),29 (1.26),←,
4,"Martin, Dustin",24y 288d,134 (65-2-67 49.25%),142 (1.06),←,
33,"McIntosh, Kamdyn",22y 6d,26 (16-0-10 61.54%),8 (0.31),←,
37,"Menadue, Connor",19y 203d,8 (5-0-3 62.50%),3 (0.38),←,
26,"Miles, Anthony",24y 41d,49 (26-0-23 53.06%),14 (0.29),39 (25-0-14 64.10%),13 (0.33)
18,"Rance, Alex",26y 183d,133 (61-2-70 46.62%),8 (0.06),←,
8,"Riewoldt, Jack",27y 161d,183 (82-4-97 45.90%),441 (2.41),←,
17,"Rioli, Daniel",18y 359d,2 (1-0-1 50.00%),2 (1.00),←,
45,"Short, Jayden",20y 76d,2 (0-0-2 0.00%),3 (1.50),←,
29,"Vickery, Ty",25y 314d,105 (50-2-53 48.57%),139 (1.32),←,
1,"Vlastuin, Nick",21y 356d,64 (37-0-27 57.81%),15 (0.23),←,
Totals,Totals,24y 158d,1810 (875-27-908 48.34%),1228 (0.68),,
C,"Hardwick, Damien",43y 235d,138 (67-2-69 49.28%),,←,
