Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
31,"Andrews, Harris",21y 160d,67 (13-0-54 19.40%),8 (0.12),←,
33,"Bailey, Zac",18y 239d,6 (1-0-5 16.67%),2 (0.33),←,
9,"Beams, Dayne",28y 97d,155 (83-2-70 54.19%),154 (0.99),45 (7-0-38 15.56%),36 (0.80)
13,"Berry, Jarrod",20y 104d,25 (4-0-21 16.00%),11 (0.44),←,
23,"Cameron, Charlie",23y 319d,82 (48-1-33 59.15%),104 (1.27),9 (1-0-8 11.11%),17 (1.89)
3,"Christensen, Allen",27y 1d,107 (55-0-52 51.40%),88 (0.82),42 (6-0-36 14.29%),32 (0.76)
26,"Cutler, Tom",23y 89d,52 (12-0-40 23.08%),24 (0.46),←,
41,"Eagles, Matt",28y 100d,3 (1-0-2 33.33%),1 (0.33),←,
27,"Gardiner, Darcy",22y 240d,71 (17-0-54 23.94%),4 (0.06),←,
30,"Hipwood, Eric",20y 249d,39 (8-0-31 20.51%),55 (1.41),←,
2,"Hodge, Luke",33y 339d,313 (181-2-130 58.15%),193 (0.62),8 (1-0-7 12.50%),
12,"Martin, Stefan",31y 184d,145 (33-1-111 23.10%),39 (0.27),88 (19-0-69 21.59%),16 (0.18)
6,"McCluggage, Hugh",20y 78d,27 (5-0-22 18.52%),12 (0.44),←,
46,"McInerney, Oscar",23y 314d,4 (1-0-3 25.00%),4 (1.00),←,
25,"McStay, Daniel",22y 330d,67 (14-0-53 20.90%),37 (0.55),←,
16,"Rayner, Cam",18y 211d,9 (1-0-8 11.11%),7 (0.78),←,
10,"Rich, Daniel",27y 347d,170 (53-1-116 31.47%),102 (0.60),←,
18,"Robertson, Nick",22y 351d,55 (8-0-47 14.55%),8 (0.15),←,
5,"Robinson, Mitch",28y 347d,157 (60-1-96 38.54%),83 (0.53),57 (9-0-48 15.79%),25 (0.44)
28,"Taylor, Lewis",23y 92d,94 (19-0-75 20.21%),71 (0.76),←,
29,"Witherden, Alex",19y 252d,18 (3-0-15 16.67%),2 (0.11),←,
15,"Zorko, Dayne",29y 100d,131 (38-0-93 29.01%),149 (1.14),←,
Totals,Totals,24y 157d,1797 (658-8-1131 36.62%),1158 (0.64),,
C,"Fagan, Chris",56y 331d,31 (6-0-25 19.35%),,←,
