Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Abbott, Paul",8,6,4,12,2,,4.0,3.0,,,,,1.0,2.0,,,,,,,,,
14,"Armstrong, Matt",13,2,11,24,,1.0,,,,,,,4.0,4.0,,,,,,,,,
32,"Baldwin, Jason",11,1,6,17,1,,,3.0,,,,,,,,,,,,,,,
18,"Blakey, John",3,5,9,12,,,,4.0,,,,,,1.0,,,,,,,,,
17,"Broderick, Paul",13,2,9,22,2,,,2.0,,,,,1.0,2.0,,,,,,,,,
22,"Caven, Peter",7,3,2,9,,,1.0,1.0,,,,,,1.0,,,,,,,,,
2,"Dundas, Matthew",4,1,6,10,,1.0,,6.0,,,,,,2.0,,,,,,,,,
23,"Exell, Gavin",2,,1,3,,,,,,,,,,,,,,,,,,,
27,"Fleming, Dale",6,6,4,10,2,,1.0,3.0,,,,,1.0,1.0,,,,,,,,,
7,"Gale, Michael",9,2,10,19,,,1.0,2.0,,,,,,3.0,,,,,,,,,
6,"Guard, Jeremy",16,6,6,22,,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,
11,"Lynch, Alastair",9,4,4,13,,,,3.0,,,,,1.0,,,,,,,,,,
29,"Lyon, Ross",5,1,9,14,1,,,,,,,,,2.0,,,,,,,,,
21,"Morrish, Paul",6,,6,12,,,,1.0,,,,,2.0,1.0,,,,,,,,,
44,"Osborne, Richard",9,3,,9,3,2.0,,2.0,,,,,1.0,2.0,,,,,,,,,
1,"Roos, Paul",18,6,11,29,1,,1.0,1.0,,,,,3.0,,3.0,,,,,,,,
3,"Seecamp, Marcus",3,2,4,7,1,,,,,,,,1.0,1.0,,,,,,,,,
33,"Stephens, Brett",11,8,20,31,,1.0,2.0,4.0,,,,,1.0,,,,,,,,,,
12,"Wheildon, Darren",3,2,5,8,,,1.0,1.0,,,,,,2.0,,,,,,,,,
8,"Wynd, Jim",17,,7,24,,,,3.0,,,,,7.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,60,134,307,13,9.0,11.0,40.0,,,,,24.0,26.0,3.0,,,,,,,,
Opposition,Opposition,205,75,118,323,16,13.0,28.0,21.0,,,,,26.0,26.0,3.0,,,,,,,,
