Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Allen, Scott",7,2,3,10,,1.0,,1.0,,,,,1.0,,,,,,,,,,
18,"Cameron, Leon",7,,4,11,,1.0,,1.0,,,,,,1.0,,,,,,,,,
20,"Ellen, Shane",,1,,,,,,,,,,,,,,,,,,,,,
3,"Grant, Chris",8,5,4,12,,,,,,,,,1.0,1.0,,,,,,,,,
1,"Grgic, Ilija",10,5,1,11,3,2.0,2.0,,,,,,,3.0,,,,,,,,,
29,"Griffin, Daryl",5,,1,6,,,,,,,,,1.0,,,,,,,,,,
37,"Hargraves, Daniel",6,2,1,7,1,3.0,,,,,,,1.0,1.0,,,,,,,,,
10,"Hunter, Mark",4,1,,4,,,,3.0,,,,,,2.0,,,,,,,,,
6,"Johnson, Brad",9,4,7,16,,,,,,,,,1.0,,,,,,,,,,
4,"Kellett, Nigel",13,6,3,16,1,,,1.0,,,,,2.0,1.0,,,,,,,,,
12,"Koster, Kym",16,3,,16,,,,1.0,,,,,1.0,3.0,,,,,,,,,
39,"Liberatore, Tony",14,4,9,23,,,,3.0,,,,,3.0,5.0,,,,,,,,,
9,"Nicholson, Brad",8,3,4,12,,,2.0,1.0,,,,,,2.0,,,,,,,,,
44,"Osborne, Richard",8,3,2,10,3,,,,,,,,1.0,2.0,,,,,,,,,
22,"Quill, Peter",12,3,4,16,,1.0,,,,,,,,2.0,,,,,,,,,
34,"Sexton, Ben",10,3,1,11,,2.0,,1.0,,,,,,1.0,,,,,,,,,
5,"Smith, Rohan",16,6,5,21,1,1.0,,2.0,,,,,,1.0,,,,,,,,,
17,"Standfield, Barry",6,4,1,7,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,
25,"Watts, Jason",5,3,1,6,1,,,,,,,,1.0,1.0,,,,,,,,,
7,"West, Scott",19,2,7,26,,,,2.0,,,,,2.0,2.0,,,,,,,,,
15,"Wynd, Scott",2,2,11,13,,,18.0,,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,185,62,69,254,10,13.0,24.0,16.0,,,,,16.0,30.0,,,,,,,,,
Opposition,Opposition,234,87,112,346,24,11.0,21.0,22.0,,,,,30.0,16.0,,,,,,,,,
