North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Allison, Brett",17,5,4,21,5,3.0,,2.0,,,,,1.0,1.0,,,,,,,,,
44,"Brayshaw, Mark",6,1,2,8,,,,,,,,,1.0,,,,,,,,,,
18,"Carey, Wayne",6,3,2,8,4,1.0,,1.0,,,,,,1.0,,,,,,,,,
30,"Chandler, Jeff",12,2,4,16,,,,,,,,,3.0,2.0,,,,,,,,,
27,"Crocker, Darren",5,1,6,11,,,,1.0,,,,,,1.0,,,,,,,,,
6,"Fairley, Ian",9,6,1,10,,,2.0,1.0,,,,,,1.0,,,,,,,,,
31,"Gallagher, Michael",5,1,4,9,,,11.0,1.0,,,,,1.0,,,,,,,,,,
29,"German, Peter",22,3,9,31,3,3.0,,1.0,,,,,1.0,1.0,,,,,,,,,
9,"Larkin, Matthew",12,1,13,25,1,2.0,1.0,3.0,,,,,1.0,1.0,,,,,,,,,
35,"Longmire, John",11,5,2,13,2,3.0,,1.0,,,,,2.0,2.0,,,,,,,,,
4,"Martyn, Mick",6,4,3,9,,,,1.0,,,,,,,,,,,,,,,
16,"McCarthy, John",9,5,6,15,1,,2.0,,,,,,1.0,,,,,,,,,,
21,"McGrath, Tim",2,,,2,,,,,,,,,1.0,,,,,,,,,,
19,"McRae, Dean",11,2,3,14,,,,,,,,,,,,,,,,,,,
3,"Rock, Anthony",15,2,5,20,1,,,,,,,,1.0,2.0,,,,,,,,,
36,"Romero, Jose",14,4,10,24,3,,,1.0,,,,,1.0,1.0,,,,,,,,,
2,"Schwass, Wayne",14,4,8,22,,1.0,,3.0,,,,,1.0,2.0,,,,,,,,,
24,"Sholl, Craig",16,4,6,22,1,,,2.0,,,,,1.0,,,,,,,,,,
15,"Smith, Ross",6,,,6,,,,,,,,,,,,,,,,,,,
7,"Steele, Darren",11,2,4,15,,,,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,8.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,55,92,301,21,21.0,16.0,18.0,,,,,17.0,16.0,,,,,,,,,
Opposition,Opposition,193,69,164,357,22,16.0,31.0,23.0,,,,,16.0,17.0,6.0,,,,,,,,
