Notes,Previous,Current
Brisbane Lions's highest score,"166 v West Coast - R17,1999","189 v Adelaide - R17,2004"
Fremantle's highest score conceded,"167 v Adelaide - R2,1998",Current holder
Brisbane Lions's biggest win,"100 v West Coast - R17,1999","141 v Adelaide - R17,2004"
Fremantle's biggest loss,"104 v North Melbourne - R20,1998","133 v Geelong - R22,2018"
