Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Bond, Chris",4,,2,6,,,,3.0,,,,,1.0,2.0,,,,,,,,,
11,"Bowden, Joel",7,5,6,13,2,,,,,,,,1.0,2.0,,,,,,,,,
17,"Broderick, Paul",11,3,12,23,,,,2.0,,,,,,,,,,,,,,,
21,"Bulluss, Paul",4,2,5,9,,,,2.0,,,,,,,,,,,,,,,
9,"Campbell, Wayne",13,,7,20,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
10,"Daffy, Nick",9,2,2,11,1,,,1.0,,,,,,,,,,,,,,,
27,"Funcke, Ross",5,2,3,8,,1.0,,1.0,,,,,1.0,,,,,,,,,,
25,"Gale, Brendon",15,5,4,19,2,,15.0,2.0,,,,,1.0,1.0,,,,,,,,,
1,"Gale, Michael",14,5,4,18,,,,2.0,,,,,1.0,3.0,,,,,,,,,
2,"Gaspar, Darren",8,2,7,15,,,,,,,,,2.0,,2.0,,,,,,,,
20,"Harrison, Ben",10,1,1,11,2,,,2.0,,,,,3.0,1.0,,,,,,,,,
16,"Holland, Ben",6,6,5,11,1,,3.0,1.0,,,,,1.0,2.0,,,,,,,,,
3,"Kellaway, Duncan",4,3,7,11,,,,1.0,,,,,,,,,,,,,,,
33,"Knights, Matthew",17,3,10,27,,1.0,,2.0,,,,,1.0,,3.0,,,,,,,,
8,"Merenda, Mark",3,,3,6,,1.0,,,,,,,1.0,,,,,,,,,,
28,"Moore, Ben",1,,,1,,,,,,,,,,1.0,,,,,,,,,
13,"Powell, Robert",9,3,7,16,2,,,1.0,,,,,,1.0,,,,,,,,,
7,"Prescott, Ashley",6,3,3,9,,1.0,,4.0,,,,,1.0,,,,,,,,,,
12,"Richardson, Matthew",6,5,1,7,,2.0,,2.0,,,,,,1.0,,,,,,,,,
4,"Rogers, Matthew",20,5,6,26,3,1.0,,3.0,,,,,,,,,,,,,,,
29,"Torney, Jason",5,1,,5,,,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,177,56,95,272,13,13.0,18.0,30.0,,,,,15.0,15.0,5.0,,,,,,,,
Opposition,Opposition,191,72,89,280,13,11.0,13.0,31.0,,,,,15.0,15.0,1.0,,,,,,,,
