Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
22,"Breust, Luke",30y 158d,225 (152-1-72 67.78%),415 (1.84),←,
9,"Burgoyne, Shaun",38y 179d,394 (257-2-135 65.48%),301 (0.76),237 (160-2-75 67.93%),130 (0.55)
24,"Cousins, James",23y 30d,26 (10-0-16 38.46%),10 (0.38),←,
8,"Frost, Sam",27y 233d,112 (42-0-70 37.50%),8 (0.07),21 (6-0-15 28.57%),
13,"Hanrahan, Oliver",22y 234d,19 (10-0-9 52.63%),13 (0.68),←,
15,"Hardwick, Blake",24y 72d,87 (42-1-44 48.85%),6 (0.07),←,
28,"Hartigan, Kyle",29y 162d,118 (66-0-52 55.93%),1 (0.01),5 (1-0-4 20.00%),
17,"Howe, Daniel",25y 135d,72 (40-1-31 56.25%),14 (0.19),←,
4,"Impey, Jarman",25y 283d,126 (65-0-61 51.59%),53 (0.42),51 (25-0-26 49.02%),19 (0.37)
29,"Jiath, Changkuoth",21y 309d,12 (3-0-9 25.00%),,←,
34,"Koschitzke, Jacob",20y 281d,4 (1-0-3 25.00%),2 (0.50),←,
7,"McEvoy, Ben",31y 281d,227 (125-3-99 55.73%),91 (0.40),136 (74-1-61 54.78%),64 (0.47)
3,"Mitchell, Tom",27y 322d,133 (73-1-59 55.26%),64 (0.48),68 (31-1-36 46.32%),26 (0.38)
36,"Moore, Dylan",21y 257d,15 (4-0-11 26.67%),12 (0.80),←,
1,"Morrison, Harry",22y 157d,47 (21-0-26 44.68%),9 (0.19),←,
11,"Nash, Conor",22y 264d,22 (11-0-11 50.00%),11 (0.50),←,
23,"OBrien, Tim",27y 21d,83 (45-1-37 54.82%),67 (0.81),←,
10,"OMeara, Jaeger",27y 54d,109 (50-0-59 45.87%),56 (0.51),65 (32-0-33 49.23%),29 (0.45)
21,"Phillips, Tom",24y 346d,94 (52-2-40 56.38%),46 (0.49),5 (1-0-4 20.00%),2 (0.40)
14,"Scrimshaw, Jack",22y 226d,31 (10-0-21 32.26%),,27 (10-0-17 37.04%),
26,"Shiels, Liam",29y 354d,226 (146-1-79 64.82%),81 (0.36),←,
20,"Wingard, Chad",27y 263d,181 (89-1-91 49.45%),264 (1.46),34 (13-0-21 38.24%),32 (0.94)
5,"Worpel, James",22y 84d,53 (24-0-29 45.28%),16 (0.30),←,
Totals,Totals,25y 363d,2416 (1338-14-1064 55.38%),1540 (0.64),,
C,"Clarkson, Alastair",52y 356d,373 (222-2-149 59.79%),,←,
