Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
43,"Barrett, Jake",22y 241d,20 (7-0-13 35.00%),17 (0.85),19 (7-0-12 36.84%),17 (0.89)
9,"Beams, Dayne",28y 145d,161 (85-2-74 53.42%),162 (1.01),51 (9-0-42 17.65%),44 (0.86)
13,"Berry, Jarrod",20y 152d,30 (6-0-24 20.00%),15 (0.50),←,
3,"Christensen, Allen",27y 49d,113 (57-0-56 50.44%),93 (0.82),48 (8-0-40 16.67%),37 (0.77)
26,"Cutler, Tom",23y 137d,58 (14-0-44 24.14%),30 (0.52),←,
27,"Gardiner, Darcy",22y 288d,77 (19-0-58 24.68%),4 (0.05),←,
30,"Hipwood, Eric",20y 297d,45 (10-0-35 22.22%),68 (1.51),←,
2,"Hodge, Luke",34y 22d,319 (183-2-134 57.68%),194 (0.61),14 (3-0-11 21.43%),1 (0.07)
35,"Lester, Ryan",25y 315d,112 (32-0-80 28.57%),45 (0.40),←,
12,"Martin, Stefan",31y 232d,151 (35-1-115 23.51%),40 (0.26),94 (21-0-73 22.34%),17 (0.18)
36,"Mathieson, Rhys",21y 178d,30 (8-0-22 26.67%),16 (0.53),←,
6,"McCluggage, Hugh",20y 126d,33 (7-0-26 21.21%),13 (0.39),←,
46,"McInerney, Oscar",23y 362d,10 (3-0-7 30.00%),9 (0.90),←,
25,"McStay, Daniel",23y 13d,72 (16-0-56 22.22%),44 (0.61),←,
16,"Rayner, Cam",18y 259d,15 (3-0-12 20.00%),11 (0.73),←,
10,"Rich, Daniel",28y 30d,176 (55-1-120 31.53%),102 (0.58),←,
18,"Robertson, Nick",23y 34d,61 (10-0-51 16.39%),8 (0.13),←,
5,"Robinson, Mitch",29y 30d,161 (62-1-98 38.82%),84 (0.52),61 (11-0-50 18.03%),26 (0.43)
28,"Taylor, Lewis",23y 140d,100 (21-0-79 21.00%),76 (0.76),←,
14,"Walker, Josh",25y 237d,67 (27-1-39 41.04%),68 (1.01),34 (8-0-26 23.53%),33 (0.97)
29,"Witherden, Alex",19y 300d,24 (5-0-19 20.83%),3 (0.13),←,
15,"Zorko, Dayne",29y 148d,137 (40-0-97 29.20%),156 (1.14),←,
Totals,Totals,24y 253d,1972 (705-8-1259 35.75%),1258 (0.64),,
C,"Fagan, Chris",57y 14d,37 (8-0-29 21.62%),,←,
