Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
22,"Addison, Dylan",20y 237d,23 (16-1-6 71.74%),2 (0.09),←,
21,"Akermanis, Jason",31y 97d,277 (167-6-104 61.37%),349 (1.26),29 (16-2-11 58.62%),42 (1.45)
5,"Boyd, Matthew",25y 278d,100 (46-2-52 47.00%),30 (0.30),←,
33,"Callan, Tim",24y 146d,23 (16-1-6 71.74%),4 (0.17),8 (6-1-1 81.25%),1 (0.13)
17,"Cooney, Adam",22y 244d,97 (46-2-49 48.45%),106 (1.09),←,
4,"Cross, Daniel",25y 62d,95 (43-3-49 46.84%),18 (0.19),←,
10,"Eagleton, Nathan",29y 203d,221 (100-5-116 46.38%),187 (0.85),165 (74-3-88 45.76%),142 (0.86)
13,"Giansiracusa, Daniel",26y 81d,135 (56-4-75 42.96%),130 (0.96),←,
9,"Gilbee, Lindsay",26y 328d,126 (59-2-65 47.62%),71 (0.56),←,
16,"Griffen, Ryan",21y 309d,61 (36-1-24 59.84%),25 (0.41),←,
8,"Hahn, Mitch",27y 21d,122 (54-2-66 45.08%),90 (0.74),←,
25,"Hargrave, Ryan",26y 310d,126 (55-4-67 45.24%),33 (0.26),←,
15,"Hudson, Ben",29y 97d,65 (40-1-24 62.31%),8 (0.12),10 (8-1-1 85.00%),2 (0.20)
6,"Johnson, Brad",31y 318d,309 (145-7-157 48.06%),482 (1.56),←,
36,"Lake, Brian",26y 94d,107 (46-2-59 43.93%),11 (0.10),←,
27,"Minson, Will",23y 50d,51 (30-1-20 59.80%),24 (0.47),←,
38,"Morris, Dale",25y 154d,72 (41-2-29 58.33%),1 (0.01),←,
2,"Murphy, Robert",25y 357d,137 (56-4-77 42.34%),114 (0.83),←,
1,"Ray, Farren",22y 69d,64 (29-1-34 46.09%),28 (0.44),←,
35,"Tiller, Stephen",21y 66d,8 (3-1-4 43.75%),7 (0.88),←,
28,"Welsh, Scott",29y 176d,175 (104-1-70 59.71%),320 (1.83),10 (8-1-1 85.00%),20 (2.00)
12,"Williams, Tom",21y 319d,16 (7-1-8 46.88%),,←,
Totals,Totals,25y 249d,2410 (1195-54-1161 49.59%),2040 (0.85),,
C,"Eade, Rodney",50y 57d,230 (123-4-103 54.35%),,78 (42-2-34 55.13%),
