Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
14,"Bugg, Tomas",22y,50 (10-0-40 20.00%),13 (0.26),←,
18,"Cameron, Jeremy",22y 4d,52 (7-0-45 13.46%),124 (2.38),←,
3,"Coniglio, Stephen",21y 111d,45 (8-0-37 17.78%),13 (0.29),←,
35,"Corr, Aidan",20y 323d,15 (1-0-14 6.67%),1 (0.07),←,
1,"Davis, Phil",24y 218d,65 (20-0-45 30.77%),6 (0.09),47 (9-0-38 19.15%),5 (0.11)
4,"Greene, Toby",21y 192d,54 (8-0-46 14.81%),19 (0.35),←,
32,"Griffen, Ryan",28y 252d,203 (98-1-104 48.52%),130 (0.64),1 (1-0-0 100.00%),
2,"Hampton, Curtly",22y 26d,47 (6-0-41 12.77%),10 (0.21),←,
19,"Haynes, Nick",22y 322d,28 (4-0-24 14.29%),2 (0.07),←,
22,"Kelly, Josh",20y 52d,19 (6-0-13 31.58%),13 (0.68),←,
25,"McCarthy, Cam",20y 4d,2 (2-0-0 100.00%),4 (2.00),←,
41,"Mumford, Shane",28y 274d,118 (76-2-40 65.25%),43 (0.36),18 (7-0-11 38.89%),4 (0.22)
7,"Palmer, Rhys",26y 51d,97 (28-0-69 28.87%),65 (0.67),44 (7-0-37 15.91%),42 (0.95)
24,"Patfull, Joel",30y 119d,183 (74-3-106 41.26%),24 (0.13),1 (1-0-0 100.00%),
9,"Scully, Tom",23y 325d,87 (20-1-66 23.56%),26 (0.30),56 (7-0-49 12.50%),20 (0.36)
23,"Shaw, Heath",29y 129d,192 (117-2-73 61.46%),37 (0.19),19 (7-0-12 36.84%),
5,"Shiel, Dylan",22y 27d,51 (8-0-43 15.69%),26 (0.51),←,
10,"Smith, Devon",21y 320d,60 (10-0-50 16.67%),52 (0.87),←,
20,"Tomlinson, Adam",21y 238d,46 (6-0-40 13.04%),15 (0.33),←,
17,"Treloar, Adam",22y 27d,59 (10-0-49 16.95%),35 (0.59),←,
8,"Ward, Callan",24y 360d,122 (41-0-81 33.61%),60 (0.49),62 (9-0-53 14.52%),27 (0.44)
6,"Whitfield, Lachie",20y 261d,31 (5-0-26 16.13%),17 (0.55),←,
Totals,Totals,23y 198d,1626 (565-9-1052 34.75%),735 (0.45),,
C,"Cameron, Leon",42y 215d,23 (7-0-16 30.43%),,←,
