Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
19,"Bishop, Matthew",29y 56d,112 (72-1-39 64.73%),6 (0.05),94 (65-1-28 69.68%),2 (0.02)
20,"Brogan, Dean",25y 266d,52 (40-0-12 76.92%),21 (0.40),←,
7,"Burgoyne, Peter",26y 220d,153 (91-2-60 60.13%),161 (1.05),←,
8,"Burgoyne, Shaun",21y 320d,65 (52-0-13 80.00%),80 (1.23),←,
9,"Carr, Josh",24y 129d,103 (75-1-27 73.30%),58 (0.56),←,
25,"Cassisi, Domenic",21y 349d,41 (33-0-8 80.49%),15 (0.37),←,
35,"Cornes, Chad",24y 298d,120 (79-1-40 66.25%),110 (0.92),←,
18,"Cornes, Kane",21y 244d,67 (50-0-17 74.63%),27 (0.40),←,
17,"Dew, Stuart",25y 18d,134 (80-2-52 60.45%),206 (1.54),←,
11,"Hardwick, Damien",32y 18d,205 (142-1-62 69.51%),14 (0.07),52 (41-0-11 78.85%),1 (0.02)
38,"James, Roger",28y 320d,135 (84-2-49 62.96%),84 (0.62),←,
29,"Kingsley, Adam",29y 16d,142 (84-2-56 59.86%),32 (0.23),←,
5,"Lade, Brendon",28y 57d,122 (73-2-47 60.66%),96 (0.79),←,
22,"Mahoney, Josh",26y 310d,47 (23-0-24 48.94%),28 (0.60),17 (13-0-4 76.47%),18 (1.06)
3,"Montgomery, Brett",31y 96d,161 (105-2-54 65.84%),96 (0.60),101 (65-1-35 64.85%),42 (0.42)
15,"Pickett, Byron",27y 25d,158 (104-0-54 65.82%),141 (0.89),38 (30-0-8 78.95%),60 (1.58)
6,"Schofield, Jarrad",29y 219d,192 (122-1-69 63.80%),125 (0.65),129 (83-1-45 64.73%),91 (0.71)
28,"Thurstans, Toby",24y 22d,33 (25-0-8 75.76%),25 (0.76),←,
16,"Tredrea, Warren",25y 256d,153 (94-1-58 61.76%),340 (2.22),←,
2,"Wakelin, Darryl",30y 25d,200 (115-1-84 57.75%),12 (0.06),85 (62-0-23 72.94%),4 (0.05)
4,"Wanganeen, Gavin",31y 79d,274 (165-5-104 61.13%),182 (0.66),147 (92-2-53 63.27%),119 (0.81)
21,"Wilson, Michael",27y 289d,134 (74-3-57 56.34%),44 (0.33),←,
Totals,Totals,26y 348d,2803 (1782-27-994 63.57%),1903 (0.68),,
C,"Williams, Mark",46y 15d,141 (90-1-50 64.18%),,←,
