Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
39,"Abbott, Paul",27y 274d,102 (75-0-27 73.53%),39 (0.38),17 (8-0-9 47.06%),9 (0.53)
32,"Baldwin, Jason",22y 261d,52 (20-0-32 38.46%),10 (0.19),←,
20,"Barrett, Chris",19y 123d,3 (2-0-1 66.67%),1 (0.33),←,
18,"Blakey, John",26y 1d,132 (52-0-80 39.39%),38 (0.29),←,
17,"Broderick, Paul",22y 204d,68 (28-0-40 41.18%),65 (0.96),←,
22,"Caven, Peter",22y 70d,25 (11-0-14 44.00%),13 (0.52),←,
2,"Dundas, Matthew",20y 231d,52 (16-0-36 30.77%),47 (0.90),←,
27,"Fleming, Dale",20y 340d,6 (2-0-4 33.33%),11 (1.83),←,
6,"Guard, Jeremy",22y 14d,17 (8-0-9 47.06%),8 (0.47),←,
26,"Johnston, David",23y 106d,43 (21-0-22 48.84%),6 (0.14),2 (0-0-2 0.00%),
11,"Lynch, Alastair",24y 36d,95 (33-0-62 34.74%),99 (1.04),←,
5,"McCormack, Brendan",22y 27d,41 (14-0-27 34.15%),24 (0.59),←,
21,"Morrish, Paul",24y 74d,25 (10-0-15 40.00%),1 (0.04),14 (6-0-8 42.86%),1 (0.07)
25,"OConnell, David",29y 33d,46 (15-0-31 32.61%),18 (0.39),19 (2-0-17 10.53%),12 (0.63)
44,"Osborne, Richard",28y 39d,183 (79-0-104 43.17%),398 (2.17),←,
1,"Roos, Paul",29y 28d,226 (95-0-131 42.04%),244 (1.08),←,
3,"Seecamp, Marcus",19y 364d,17 (8-0-9 47.06%),3 (0.18),←,
33,"Stephens, Brett",31y 156d,119 (43-0-76 36.13%),42 (0.35),←,
12,"Wheildon, Darren",21y 257d,42 (15-0-27 35.71%),102 (2.43),←,
8,"Wynd, Jim",27y 257d,90 (34-0-56 37.78%),37 (0.41),←,
Totals,Totals,24y 90d,1384 (581-0-803 41.98%),1206 (0.87),,
C,"Shaw, Robert",37y 201d,39 (12-0-27 30.77%),,←,
