Notes,Previous,Current
Port Adelaide's highest score conceded,"169 v Carlton - R6,2000","197 v Hawthorn - R21,2011"
Port Adelaide's biggest loss,"94 v Essendon - R1,2000","165 v Hawthorn - R21,2011"
