Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
14,"Bugg, Tomas",22y 139d,63 (16-0-47 25.40%),14 (0.22),←,
18,"Cameron, Jeremy",22y 143d,71 (16-0-55 22.54%),174 (2.45),←,
3,"Coniglio, Stephen",21y 250d,61 (17-0-44 27.87%),21 (0.34),←,
35,"Corr, Aidan",21y 97d,31 (8-0-23 25.81%),1 (0.03),←,
4,"Greene, Toby",21y 331d,73 (17-0-56 23.29%),32 (0.44),←,
32,"Griffen, Ryan",29y 26d,222 (107-1-114 48.42%),136 (0.61),20 (10-0-10 50.00%),6 (0.30)
19,"Haynes, Nick",23y 96d,44 (12-0-32 27.27%),4 (0.09),←,
33,"Hoskin-Elliott, Will",21y 354d,50 (11-0-39 22.00%),41 (0.82),←,
22,"Kelly, Josh",20y 191d,34 (12-0-22 35.29%),18 (0.53),←,
37,"Lobb, Rory",22y 194d,11 (3-0-8 27.27%),7 (0.64),←,
34,"Marchbank, Caleb",18y 258d,3 (0-0-3 0.00%),,←,
25,"McCarthy, Cam",20y 143d,19 (11-0-8 57.89%),36 (1.89),←,
7,"Palmer, Rhys",26y 190d,108 (33-0-75 30.56%),81 (0.75),55 (12-0-43 21.82%),58 (1.05)
24,"Patfull, Joel",30y 258d,198 (81-3-114 41.67%),25 (0.13),16 (8-0-8 50.00%),1 (0.06)
12,"Patton, Jonathon",22y 94d,32 (7-0-25 21.88%),37 (1.16),←,
27,"Phillips, Andrew",24y 50d,14 (2-0-12 14.29%),5 (0.36),←,
23,"Shaw, Heath",29y 268d,211 (126-2-83 60.19%),38 (0.18),38 (16-0-22 42.11%),1 (0.03)
17,"Treloar, Adam",22y 166d,77 (19-0-58 24.68%),45 (0.58),←,
8,"Ward, Callan",25y 134d,141 (50-0-91 35.46%),68 (0.48),81 (18-0-63 22.22%),35 (0.43)
6,"Whitfield, Lachie",21y 35d,49 (13-0-36 26.53%),20 (0.41),←,
29,"Williams, Zac",20y 336d,29 (7-0-22 24.14%),7 (0.24),←,
16,"Wilson, Nathan",22y 227d,30 (8-0-22 26.67%),9 (0.30),←,
Totals,Totals,23y 98d,1571 (576-6-989 36.66%),819 (0.52),,
C,"Cameron, Leon",42y 354d,42 (16-0-26 38.10%),,←,
