Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",21,6,7,28,2,,,2.0,,,,,1.0,1.0,3.0,,,,,,,,
18,"Cameron, Leon",8,3,1,9,,,,,,,,,1.0,,,,,,,,,,
32,"Ellis, Craig",5,4,1,6,,,,,,,,,,,,,,,,,,,
3,"Grant, Chris",16,11,2,18,6,2.0,,1.0,,,,,3.0,1.0,1.0,,,,,,,,
1,"Grgic, Ilija",8,7,,8,1,2.0,8.0,,,,,,,2.0,,,,,,,,,
37,"Hargraves, Daniel",4,2,4,8,,,,,,,,,2.0,2.0,,,,,,,,,
7,"Hawkins, Doug",2,2,5,7,,,1.0,1.0,,,,,1.0,,,,,,,,,,
21,"Kolyniuk, Steven",8,4,8,16,1,1.0,,4.0,,,,,,1.0,,,,,,,,,
12,"Koster, Kym",8,2,2,10,1,,,3.0,,,,,1.0,2.0,,,,,,,,,
35,"Kretiuk, Steven",11,5,7,18,,1.0,,1.0,,,,,2.0,,,,,,,,,,
39,"Liberatore, Tony",15,1,12,27,,,,5.0,,,,,4.0,,,,,,,,,,
44,"Osborne, Richard",15,4,1,16,5,3.0,,1.0,,,,,1.0,2.0,,,,,,,,,
22,"Quill, Peter",12,2,3,15,1,1.0,,2.0,,,,,2.0,2.0,,,,,,,,,
2,"Reynolds, Keenan",8,6,3,11,,,,1.0,,,,,,,,,,,,,,,
5,"Smith, Rohan",12,5,5,17,,,,2.0,,,,,1.0,1.0,,,,,,,,,
8,"Southern, Daniel",14,5,9,23,,,,1.0,,,,,5.0,1.0,2.0,,,,,,,,
17,"Standfield, Barry",6,4,2,8,,1.0,2.0,,,,,,2.0,2.0,,,,,,,,,
24,"Wallis, Stephen",14,5,8,22,,,,,,,,,2.0,,,,,,,,,,
25,"Watts, Jason",12,2,10,22,,,,,,,,,1.0,1.0,,,,,,,,,
14,"West, Scott",19,7,12,31,1,1.0,,2.0,,,,,2.0,,,,,,,,,,
15,"Wynd, Scott",5,1,3,8,2,1.0,10.0,,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,223,88,105,328,20,14.0,21.0,26.0,,,,,32.0,19.0,6.0,,,,,,,,
Opposition,Opposition,161,49,100,261,9,6.0,10.0,34.0,,,,,19.0,32.0,,,,,,,,,
