Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
22,"Bain, David",26y 21d,68 (14-1-53 21.32%),38 (0.56),←,
25,"Campbell, Matthew",28y 114d,70 (15-1-54 22.14%),24 (0.34),←,
12,"Clarke, Troy",22y 350d,20 (2-1-17 12.50%),8 (0.40),←,
4,"Gastev, John",27y 286d,98 (32-1-65 33.16%),63 (0.64),68 (15-1-52 22.79%),32 (0.47)
34,"Green, Ashley",19y 47d,7 (1-1-5 21.43%),,←,
14,"Hamilton, Shane",21y 279d,45 (13-0-32 28.89%),56 (1.24),18 (1-0-17 5.56%),16 (0.89)
32,"Hart, Shaun",21y 6d,23 (5-1-17 23.91%),4 (0.17),←,
11,"Hutton, John",25y 363d,8 (1-1-6 18.75%),22 (2.75),←,
8,"Jeffrey, Russell",26y 107d,43 (16-0-27 37.21%),3 (0.07),1 (0-0-1 0.00%),
41,"Kennedy, Matthew",22y 109d,25 (3-0-22 12.00%),3 (0.12),←,
17,"Leslie, Martin",29y 188d,60 (12-1-47 20.83%),5 (0.08),←,
7,"McIvor, Scott",25y 288d,131 (47-0-84 35.88%),50 (0.38),76 (21-0-55 27.63%),35 (0.46)
26,"Noonan, Danny",23y 176d,26 (3-1-22 13.46%),11 (0.42),←,
5,"Owen, Rod",25y 113d,73 (22-0-51 30.14%),126 (1.73),4 (1-0-3 25.00%),4 (1.00)
44,"Palfreyman, Nigel",18y 234d,9 (1-1-7 16.67%),6 (0.67),←,
6,"Retzlaff, Brendon",23y 31d,5 (1-1-3 30.00%),,←,
13,"Shephard, Heath",22y 259d,14 (8-0-6 57.14%),17 (1.21),3 (0-0-3 0.00%),1 (0.33)
33,"White, Darryl",18y 346d,8 (1-1-6 18.75%),2 (0.25),←,
28,"Windsor, Ray",19y 286d,15 (2-1-12 16.67%),11 (0.73),←,
18,"Worsfold, Peter",21y 317d,16 (1-1-14 9.38%),15 (0.94),←,
Totals,Totals,23y 196d,764 (200-14-550 26.18%),464 (0.61),,
C,"Walls, Robert",41y 307d,230 (119-2-109 52.17%),,31 (4-1-26 14.52%),
