Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
12,"Astbury, David",27y 96d,96 (47-2-47 50.00%),8 (0.08),←,
35,"Broad, Nathan",25y 48d,19 (16-0-3 84.21%),,←,
7,"Butler, Dan",21y 364d,34 (26-0-8 76.47%),43 (1.26),←,
22,"Caddy, Josh",25y 247d,126 (75-1-50 59.92%),124 (0.98),31 (23-0-8 74.19%),48 (1.55)
30,"Conca, Reece",25y 294d,97 (53-1-43 55.15%),23 (0.24),←,
9,"Cotchin, Trent",28y 56d,208 (109-2-97 52.88%),121 (0.58),←,
10,"Edwards, Shane",29y 220d,218 (103-5-110 48.39%),145 (0.67),←,
5,"Ellis, Brandon",24y 303d,142 (82-1-59 58.10%),47 (0.33),←,
34,"Graham, Jack",20y 97d,15 (13-0-2 86.67%),7 (0.47),←,
6,"Grigg, Shaun",30y 44d,201 (105-2-94 52.74%),94 (0.47),158 (87-2-69 55.70%),84 (0.53)
2,"Grimes, Dylan",26y 321d,114 (69-0-45 60.53%),3 (0.03),←,
28,"Higgins, Jack",19y 75d,7 (7-0-0 100.00%),8 (1.14),←,
23,"Lambert, Kane",26y 188d,63 (40-0-23 63.49%),38 (0.60),←,
4,"Martin, Dustin",26y 341d,189 (99-2-88 52.91%),203 (1.07),←,
33,"McIntosh, Kamdyn",24y 60d,64 (42-0-22 65.63%),14 (0.22),←,
37,"Menadue, Connor",21y 256d,30 (17-0-13 56.67%),11 (0.37),←,
36,"Moore, Callum",21y 272d,4 (2-0-2 50.00%),3 (0.75),←,
25,"Nankervis, Toby",23y 294d,47 (34-0-13 72.34%),17 (0.36),35 (27-0-8 77.14%),14 (0.40)
18,"Rance, Alex",28y 236d,186 (95-2-89 51.61%),9 (0.05),←,
8,"Riewoldt, Jack",29y 214d,236 (114-4-118 49.15%),562 (2.38),←,
15,"Short, Jayden",22y 129d,43 (25-0-18 58.14%),11 (0.26),←,
1,"Vlastuin, Nick",24y 44d,105 (64-0-41 60.95%),23 (0.22),←,
Totals,Totals,25y 75d,2244 (1237-22-985 55.12%),1514 (0.67),,
C,"Hardwick, Damien",45y 288d,193 (101-2-90 52.85%),,←,
