Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",15,4,4,19,1,,1.0,4.0,2.0,2.0,5.0,2.0,2.0,,,8.0,10.0,,1.0,,,,76.0
27,"Baird, John",5,4,,5,1,,,,,2.0,,,,,,,5.0,,,1.0,1.0,,46.0
16,"Brown, Leigh",6,5,3,9,,,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,,2.0,6.0,,,5.0,1.0,,99.0
2,"Colbert, Leigh",14,10,2,16,,,,4.0,7.0,1.0,,,2.0,,1.0,5.0,12.0,1.0,,2.0,,1.0,100.0
24,"Firrito, Michael",9,4,2,11,1,1.0,3.0,4.0,3.0,2.0,,1.0,,,,2.0,9.0,,1.0,2.0,,,75.0
6,"Grant, Shannon",8,4,8,16,1,,,,2.0,5.0,2.0,1.0,,,,5.0,11.0,,,,,2.0,90.0
31,"Hale, David",4,3,2,6,,,5.0,2.0,,1.0,2.0,1.0,,,,1.0,5.0,,,3.0,1.0,1.0,62.0
39,"Harding, Leigh",2,2,4,6,1,,,2.0,,2.0,1.0,,1.0,,,4.0,3.0,,,,,,86.0
4,"Harris, Daniel",6,4,12,18,,,,4.0,,1.0,3.0,3.0,,2.0,2.0,8.0,11.0,,,1.0,,,84.0
29,"Harvey, Brent",10,3,3,13,,,,1.0,1.0,4.0,2.0,3.0,3.0,1.0,,5.0,8.0,,,1.0,,1.0,98.0
21,"Jones, Corey",16,12,5,21,5,1.0,,1.0,,6.0,1.0,2.0,3.0,,3.0,10.0,12.0,3.0,5.0,1.0,,1.0,86.0
35,"Makepeace, Troy",8,2,4,12,1,,,2.0,3.0,3.0,3.0,,1.0,,,7.0,6.0,,,4.0,3.0,1.0,72.0
20,"Petrie, Drew",10,5,3,13,1,,12.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,,7.0,6.0,1.0,1.0,2.0,,,72.0
30,"Pratt, Daniel",4,5,3,7,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,3.0,5.0,1.0,,5.0,,1.0,81.0
3,"Rawlings, Brady",8,2,8,16,,,,5.0,1.0,2.0,2.0,4.0,2.0,,,4.0,10.0,,,1.0,2.0,,93.0
26,"Rocca, Saverio",10,9,,10,2,2.0,2.0,,,2.0,,3.0,,,,2.0,7.0,2.0,5.0,1.0,,,88.0
9,"Sinclair, Jess",15,7,8,23,,,,,6.0,3.0,1.0,1.0,1.0,1.0,,7.0,16.0,,,2.0,9.0,,100.0
12,"Stevens, Michael",8,3,3,11,,,,1.0,2.0,1.0,,,1.0,,,4.0,7.0,,,,3.0,,64.0
23,"Thompson, Nathan",10,9,3,13,,3.0,,,,2.0,,1.0,1.0,,,3.0,10.0,2.0,2.0,,,,100.0
13,"Trotter, David",4,1,,4,,1.0,,,,1.0,,1.0,,1.0,,1.0,3.0,,,1.0,,,33.0
36,"Watt, Shannon",6,5,,6,,,,,2.0,1.0,,1.0,,1.0,,,5.0,,,4.0,1.0,,100.0
8,"Wells, Daniel",10,4,11,21,1,1.0,,3.0,3.0,3.0,,4.0,1.0,1.0,,6.0,15.0,1.0,,2.0,8.0,1.0,95.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,188,107,88,276,15,10.0,24.0,41.0,37.0,48.0,27.0,32.0,21.0,11.0,6.0,94.0,182.0,11.0,15.0,38.0,29.0,9.0,
Opposition,Opposition,189,84,123,312,14,12.0,39.0,28.0,37.0,48.0,39.0,44.0,11.0,21.0,,106.0,207.0,5.0,7.0,41.0,20.0,9.0,
