Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
27,"Barker, John",29y 170d,155 (62-1-92 40.32%),115 (0.74),100 (55-0-45 55.00%),102 (1.02)
33,"Barlow, Kris",31y 23d,101 (51-0-50 50.50%),74 (0.73),←,
10,"Bateman, Chance",23y 47d,40 (17-0-23 42.50%),12 (0.30),←,
20,"Beaumont, Simon",28y 238d,170 (75-0-95 44.12%),97 (0.57),18 (3-0-15 16.67%),8 (0.44)
30,"Brown, Campbell",20y 345d,37 (13-0-24 35.14%),26 (0.70),←,
25,"Clarke, Tim",22y 127d,44 (21-0-23 47.73%),11 (0.25),←,
35,"Cox, Adrian",23y 334d,51 (27-0-24 52.94%),25 (0.49),←,
24,"Croad, Trent",24y 151d,140 (67-1-72 48.21%),147 (1.05),102 (47-1-54 46.57%),87 (0.85)
1,"Everitt, Peter",30y 96d,213 (83-2-128 39.44%),342 (1.61),33 (10-0-23 30.30%),42 (1.27)
34,"Graham, Mark",31y 147d,220 (102-2-116 46.82%),61 (0.28),←,
3,"Hay, Jonathan",24y 360d,126 (59-1-66 47.22%),12 (0.10),←,
15,"Hodge, Luke",20y 53d,42 (19-0-23 45.24%),31 (0.74),←,
2,"Holland, Nick",30y 9d,174 (79-2-93 45.98%),234 (1.34),←,
37,"Lekkas, Angelo",28y 39d,168 (72-1-95 43.15%),110 (0.65),←,
5,"Mitchell, Sam",21y 300d,47 (20-0-27 42.55%),10 (0.21),←,
40,"Osborne, Michael",22y 9d,38 (12-0-26 31.58%),6 (0.16),←,
13,"Picioane, Lance",24y 61d,59 (29-0-30 49.15%),24 (0.41),55 (28-0-27 50.91%),22 (0.40)
16,"Ries, Nick",22y 24d,57 (24-0-33 42.11%),15 (0.26),←,
11,"Smith, Joel",27y 96d,162 (77-1-84 47.84%),80 (0.49),104 (48-1-55 46.63%),29 (0.28)
23,"Thompson, Nathan",26y 175d,117 (55-1-61 47.44%),190 (1.62),←,
21,"Vandenberg, Richard",27y 206d,96 (44-1-51 46.35%),46 (0.48),←,
6,"Williams, Mark",21y 116d,30 (9-0-21 30.00%),43 (1.43),←,
Totals,Totals,25y 192d,2287 (1017-13-1257 44.47%),1711 (0.75),,
C,"McDonald, Donald",42y 89d,2 (1-0-1 50.00%),,←,
