North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",21y 364d,85 (47-0-38 55.29%),10 (0.12),←,
3,"Bastinac, Ryan",23y 82d,103 (58-0-45 56.31%),58 (0.56),←,
35,"Black, Aaron",23y 287d,46 (28-0-18 60.87%),63 (1.37),←,
50,"Brown, Ben",21y 296d,10 (9-0-1 90.00%),16 (1.60),←,
10,"Cunnington, Ben",23y 74d,98 (53-0-45 54.08%),42 (0.43),←,
15,"Dal Santo, Nick",30y 202d,284 (161-5-118 57.57%),149 (0.52),24 (16-0-8 66.67%),9 (0.38)
11,"Firrito, Michael",30y 289d,229 (115-2-112 50.66%),29 (0.13),←,
43,"Gibson, Sam",28y 108d,59 (36-0-23 61.02%),22 (0.37),←,
22,"Goldstein, Todd",26y 73d,124 (66-1-57 53.63%),58 (0.47),←,
24,"Greenwood, Levi",25y 205d,73 (40-1-32 55.48%),25 (0.34),←,
17,"Grima, Nathan",29y 38d,85 (47-1-37 55.88%),1 (0.01),←,
29,"Harvey, Brent",36y 121d,383 (208-3-172 54.70%),457 (1.19),←,
34,"Macmillan, Jamie",22y 354d,64 (37-0-27 57.81%),26 (0.41),←,
21,"McDonald, Luke",19y 215d,22 (14-0-8 63.64%),,←,
20,"Petrie, Drew",31y 332d,268 (133-3-132 50.19%),356 (1.33),←,
9,"Swallow, Andrew",27y 102d,163 (80-1-82 49.39%),72 (0.44),←,
12,"Thomas, Lindsay",26y 196d,152 (74-2-76 49.34%),249 (1.64),←,
16,"Thompson, Scott",28y 126d,135 (64-2-69 48.15%),6 (0.04),←,
40,"Turner, Kayne",18y 255d,5 (5-0-0 100.00%),8 (1.60),←,
8,"Wells, Daniel",29y 221d,221 (114-2-105 52.04%),145 (0.66),←,
19,"Wright, Sam",24y 59d,83 (44-0-39 53.01%),54 (0.65),←,
7,"Ziebell, Jack",23y 196d,99 (49-0-50 49.49%),57 (0.58),←,
Totals,Totals,26y 25d,2791 (1482-23-1286 53.10%),1903 (0.68),,
C,"Scott, Brad",38y 132d,113 (61-0-52 53.98%),,←,
