Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",24y 353d,117 (44-1-72 38.03%),44 (0.38),86 (41-1-44 48.26%),32 (0.37)
14,"Aish, James",22y 304d,65 (23-0-42 35.38%),23 (0.35),33 (15-0-18 45.45%),15 (0.45)
46,"Cox, Mason",27y 178d,41 (22-0-19 53.66%),47 (1.15),←,
25,"Crisp, Jack",24y 341d,107 (50-1-56 47.20%),43 (0.40),89 (43-1-45 48.88%),33 (0.37)
2,"de Goey, Jordan",22y 177d,68 (35-1-32 52.21%),74 (1.09),←,
6,"Goldsack, Tyson",31y 109d,162 (98-1-63 60.80%),50 (0.31),←,
19,"Greenwood, Levi",29y 201d,132 (66-2-64 50.76%),56 (0.42),58 (26-1-31 45.69%),30 (0.52)
4,"Grundy, Brodie",24y 146d,105 (54-1-50 51.90%),35 (0.33),←,
32,"Hoskin-Elliott, Will",25y 6d,97 (36-1-60 37.63%),99 (1.02),45 (24-1-20 54.44%),57 (1.27)
38,"Howe, Jeremy",28y 71d,159 (50-1-108 31.76%),88 (0.55),59 (28-1-30 48.31%),8 (0.14)
8,"Langdon, Tom",24y 91d,77 (39-1-37 51.30%),3 (0.04),←,
37,"Maynard, Brayden",21y 353d,70 (31-1-38 45.00%),14 (0.20),←,
16,"Mayne, Chris",29y 310d,193 (108-1-84 56.22%),203 (1.05),21 (13-0-8 61.90%),7 (0.33)
41,"Mihocek, Brody",25y 216d,13 (9-0-4 69.23%),25 (1.92),←,
10,"Pendlebury, Scott",30y 244d,274 (165-2-107 60.58%),166 (0.61),←,
21,"Phillips, Tom",22y 124d,47 (25-1-21 54.26%),27 (0.57),←,
22,"Sidebottom, Steele",27y 249d,208 (127-3-78 61.78%),151 (0.73),←,
36,"Sier, Brayden",20y 270d,9 (6-0-3 66.67%),2 (0.22),←,
35,"Stephenson, Jaidyn",19y 236d,23 (15-0-8 65.22%),35 (1.52),←,
24,"Thomas, Josh",26y 342d,64 (40-1-23 63.28%),61 (0.95),←,
7,"Treloar, Adam",25y 183d,136 (47-1-88 34.93%),85 (0.63),57 (27-1-29 48.25%),37 (0.65)
18,"Varcoe, Travis",30y 151d,202 (146-0-56 72.28%),158 (0.78),64 (32-0-32 50.00%),28 (0.44)
Totals,Totals,25y 278d,2369 (1236-20-1113 52.17%),1489 (0.63),,
C,"Buckley, Nathan",46y 44d,159 (85-1-73 53.77%),,←,
