St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",24y 351d,80 (39-1-40 49.38%),55 (0.69),←,
26,"Dal Santo, Nick",29y 100d,248 (142-5-101 58.27%),136 (0.55),←,
24,"Dempster, Sean",29y 133d,148 (85-3-60 58.45%),17 (0.11),94 (50-3-41 54.79%),9 (0.10)
45,"Ferguson, Jackson",20y 222d,1 (0-0-1 0.00%),,←,
25,"Fisher, Sam",30y 327d,191 (114-4-73 60.73%),21 (0.11),←,
14,"Geary, Jarryn",24y 344d,82 (51-0-31 62.20%),15 (0.18),←,
33,"Gwilt, James",26y 295d,101 (61-3-37 61.88%),19 (0.19),←,
1,"Hickey, Tom",22y 88d,17 (2-0-15 11.76%),5 (0.29),5 (1-0-4 20.00%),
5,"McEvoy, Ben",23y 326d,79 (48-2-29 62.03%),22 (0.28),←,
44,"Milne, Stephen",33y 86d,267 (143-5-119 54.49%),559 (2.09),←,
11,"Montagna, Leigh",29y 212d,200 (120-4-76 61.00%),119 (0.60),←,
16,"Newnes, Jack",20y 98d,15 (7-0-8 46.67%),1 (0.07),←,
22,"Ray, Farren",27y 71d,164 (94-4-66 58.54%),50 (0.30),89 (59-3-27 67.98%),18 (0.20)
12,"Riewoldt, Nick",30y 228d,248 (133-5-110 54.64%),549 (2.21),←,
17,"Roberton, Dylan",21y 346d,47 (24-0-23 51.06%),7 (0.15),10 (2-0-8 20.00%),2 (0.20)
6,"Ross, Sebastian",20y 26d,8 (2-0-6 25.00%),1 (0.13),←,
21,"Saad, Ahmed",23y 236d,26 (11-0-15 42.31%),40 (1.54),←,
2,"Siposs, Arryn",20y 189d,23 (10-0-13 43.48%),20 (0.87),←,
28,"Stanley, Rhys",22y 183d,31 (16-0-15 51.61%),19 (0.61),←,
3,"Steven, Jack",23y 66d,61 (30-1-30 50.00%),47 (0.77),←,
29,"Webster, Jimmy",19y 339d,4 (1-0-3 25.00%),1 (0.25),←,
34,"Wright, Nathan",19y 106d,6 (2-0-4 33.33%),,←,
Totals,Totals,24y 282d,2047 (1135-37-875 55.45%),1703 (0.83),,
C,"Watters, Scott",44y 128d,32 (14-0-18 43.75%),,←,
