Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Ah Chee, Callum",9,4,5,14,,1.0,,2.0,1.0,2.0,,,1.0,,,5.0,9.0,,1.0,2.0,,,82.0
31,"Andrews, Harris",6,5,4,10,,,,4.0,3.0,1.0,,1.0,2.0,1.0,,6.0,4.0,3.0,,10.0,,,100.0
33,"Bailey, Zac",10,4,4,14,1,1.0,,1.0,,5.0,1.0,,,,,6.0,8.0,1.0,,1.0,,1.0,78.0
7,"Berry, Jarrod",14,7,9,23,,,,10.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,7.0,15.0,,1.0,2.0,,2.0,87.0
14,"Birchall, Grant",8,2,3,11,,,,2.0,2.0,2.0,1.0,,2.0,,,4.0,6.0,,,1.0,1.0,,77.0
23,"Cameron, Charlie",9,4,,9,2,2.0,,1.0,,2.0,,2.0,2.0,2.0,,4.0,5.0,1.0,3.0,2.0,1.0,,93.0
28,"Ellis-Yolmen, Cam",9,4,3,12,1,,,6.0,2.0,3.0,4.0,1.0,,,,5.0,6.0,,1.0,3.0,,,78.0
27,"Gardiner, Darcy",7,4,3,10,,,,5.0,2.0,2.0,,4.0,,4.0,,4.0,6.0,,,2.0,,,93.0
30,"Hipwood, Eric",9,3,,9,1,2.0,,,,,,1.0,1.0,,,5.0,4.0,2.0,2.0,1.0,,1.0,94.0
35,"Lester, Ryan",8,3,3,11,,,,2.0,4.0,1.0,,2.0,,1.0,,6.0,3.0,3.0,,3.0,,,89.0
17,"Lyons, Jarryd",18,2,6,24,,,,4.0,1.0,8.0,5.0,6.0,1.0,4.0,,13.0,9.0,1.0,,2.0,,1.0,83.0
11,"McCarthy, Lincoln",8,4,3,11,2,2.0,,4.0,1.0,2.0,1.0,3.0,2.0,1.0,,6.0,3.0,2.0,2.0,,,,83.0
6,"McCluggage, Hugh",18,6,6,24,1,5.0,,2.0,,7.0,4.0,2.0,2.0,,1.0,13.0,12.0,1.0,2.0,1.0,,1.0,87.0
46,"McInerney, Oscar",1,1,2,3,,,19.0,5.0,,,,2.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,,83.0
25,"McStay, Daniel",7,3,5,12,1,,,3.0,,3.0,1.0,2.0,1.0,1.0,,5.0,6.0,,1.0,1.0,,,91.0
9,"Neale, Lachie",18,8,13,31,,6.0,,3.0,1.0,3.0,4.0,2.0,1.0,,3.0,13.0,19.0,1.0,3.0,2.0,,,98.0
16,"Rayner, Cam",4,3,10,14,,1.0,,3.0,,2.0,3.0,1.0,2.0,,,7.0,7.0,,,1.0,,1.0,85.0
10,"Rich, Daniel",12,3,,12,1,1.0,,1.0,,3.0,,,,,,3.0,9.0,1.0,,4.0,,,83.0
5,"Robinson, Mitch",13,4,4,17,,1.0,,1.0,2.0,5.0,3.0,,1.0,,,12.0,5.0,2.0,1.0,2.0,1.0,2.0,76.0
44,"Smith, Archie",2,1,2,4,,,11.0,3.0,,1.0,2.0,,,,,2.0,2.0,,,1.0,,,52.0
37,"Starcevich, Brandon",6,3,1,7,,,,4.0,,3.0,,1.0,1.0,,,4.0,3.0,1.0,,1.0,,,77.0
15,"Zorko, Dayne",3,2,,3,,,,4.0,,1.0,,,,,,1.0,2.0,1.0,1.0,,,,31.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,80,86,285,10,23.0,30.0,70.0,21.0,60.0,31.0,32.0,20.0,17.0,6.0,132.0,145.0,21.0,19.0,44.0,3.0,9.0,
Opposition,Opposition,162,71,69,231,7,4.0,23.0,54.0,46.0,28.0,22.0,49.0,17.0,20.0,,91.0,125.0,4.0,5.0,36.0,1.0,5.0,
