Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
24,"Allan, Matthew",23y 178d,76 (40-0-36 52.63%),33 (0.43),←,
29,"Beaumont, Simon",22y 253d,32 (18-0-14 56.25%),19 (0.59),←,
21,"Bradley, Craig",34y 304d,285 (173-2-110 61.05%),201 (0.71),←,
20,"Brown, Fraser",28y 5d,147 (84-1-62 57.48%),89 (0.61),←,
16,"Camporeale, Scott",23y 12d,80 (49-0-31 61.25%),62 (0.77),←,
34,"De Iulio, Ron",26y 130d,90 (51-0-39 56.67%),67 (0.74),←,
35,"Dean, Peter",33y 167d,247 (151-1-95 61.34%),41 (0.17),←,
45,"Franchina, Anthony",20y 316d,17 (8-0-9 47.06%),3 (0.18),←,
36,"Hamill, Aaron",21y 3d,41 (17-0-24 41.46%),36 (0.88),←,
33,"Hogg, Matthew",29y 245d,166 (87-3-76 53.31%),41 (0.25),107 (63-1-43 59.35%),37 (0.35)
26,"Hynes, John",19y 181d,4 (2-0-2 50.00%),2 (0.50),←,
43,"Koutoufides, Anthony",25y 217d,127 (75-1-51 59.45%),94 (0.74),←,
22,"Manton, Glenn",25y 83d,96 (56-0-40 58.33%),32 (0.33),75 (45-0-30 60.00%),28 (0.37)
3,"Massie, Kris",18y 85d,8 (4-0-4 50.00%),3 (0.38),←,
5,"McKay, Andrew",28y 40d,127 (78-1-48 61.81%),20 (0.16),←,
18,"Murphy, Justin",22y 121d,66 (37-0-29 56.06%),66 (1.00),54 (28-0-26 51.85%),57 (1.06)
7,"Ratten, Brett",27y 43d,162 (94-0-68 58.02%),43 (0.27),←,
23,"Rice, Dean",30y 159d,174 (78-1-95 45.11%),78 (0.45),58 (33-0-25 56.90%),35 (0.60)
14,"Sexton, Michael",27y 171d,169 (101-1-67 60.06%),18 (0.11),←,
1,"Silvagni, Stephen",31y 84d,247 (157-1-89 63.77%),164 (0.66),←,
30,"White, Adam",22y 226d,24 (12-0-12 50.00%),12 (0.50),←,
8,"Whitnall, Lance",19y,39 (17-0-22 43.59%),62 (1.59),←,
Totals,Totals,25y 171d,2424 (1389-12-1023 57.30%),1186 (0.49),,
C,"Parkin, David",55y 345d,466 (274-2-190 59.01%),,303 (187-2-114 62.05%),
