Notes,Previous,Current
North Melbourne's highest score,"193 v Carlton - R10,1983","229 v Sydney - R6,1993"
North Melbourne's biggest win,"140 v Sydney - R3,1983",Current holder
Richmond's biggest loss,"134 v Geelong - R9,1989","157 v Geelong - R6,2007"
