West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Cox, Dean",8,4,15,23,,,29.0,2.0,3.0,,3.0,1.0,2.0,,,13.0,10.0,2.0,,5.0,,,68.0
5,"Ebert, Brad",12,1,8,20,,,,6.0,,2.0,5.0,6.0,2.0,2.0,,12.0,8.0,,,5.0,,,81.0
32,"Embley, Andrew",13,3,7,20,,,,2.0,2.0,5.0,2.0,1.0,1.0,,1.0,10.0,10.0,1.0,,2.0,1.0,,97.0
17,"Kennedy, Josh",10,5,4,14,1,3.0,,1.0,,2.0,,4.0,,2.0,,7.0,7.0,2.0,1.0,3.0,,,87.0
2,"LeCras, Mark",12,7,2,14,,,,4.0,,2.0,2.0,1.0,1.0,1.0,,4.0,10.0,1.0,3.0,,,,91.0
21,"Lynch, Quinten",5,3,7,12,,1.0,1.0,4.0,,2.0,1.0,2.0,,1.0,,5.0,7.0,2.0,,2.0,,,89.0
16,"Mackenzie, Eric",7,6,6,13,,,2.0,3.0,5.0,,,1.0,1.0,,,6.0,8.0,2.0,,5.0,,,100.0
35,"McGinnity, Patrick",6,,3,9,,,,6.0,1.0,3.0,1.0,4.0,,1.0,,6.0,3.0,,,,,,77.0
9,"Naitanui, Nic",2,1,5,7,,,19.0,1.0,,,1.0,1.0,,1.0,,5.0,1.0,1.0,,3.0,,,65.0
24,"Rosa, Matt",15,4,11,26,1,,,2.0,2.0,4.0,3.0,4.0,1.0,1.0,,9.0,16.0,,1.0,,1.0,,88.0
31,"Schofield, Will",6,1,8,14,,,,1.0,5.0,1.0,1.0,1.0,,,,8.0,4.0,,,10.0,,,96.0
37,"Selwood, Adam",5,1,9,14,1,1.0,,4.0,1.0,,2.0,,2.0,,,6.0,8.0,,,,,,76.0
10,"Selwood, Scott",8,3,8,16,,,,8.0,2.0,5.0,2.0,3.0,1.0,1.0,,8.0,7.0,,1.0,3.0,,1.0,84.0
12,"Sheppard, Brad",4,1,2,6,,,,1.0,,1.0,,2.0,,,,1.0,5.0,,1.0,,,1.0,44.0
13,"Shuey, Luke",13,4,5,18,1,2.0,,1.0,2.0,1.0,2.0,5.0,2.0,2.0,,11.0,9.0,,1.0,1.0,3.0,,82.0
28,"Smith, Ashley",8,,4,12,,,,1.0,3.0,,1.0,1.0,,1.0,,4.0,6.0,,,1.0,1.0,,80.0
30,"Spangher, Matthew",8,1,5,13,,,2.0,4.0,6.0,1.0,1.0,3.0,1.0,2.0,,6.0,6.0,,,8.0,,,92.0
14,"Stevens, Koby",6,3,6,12,,1.0,,8.0,1.0,1.0,1.0,4.0,,3.0,,3.0,10.0,,1.0,1.0,,,66.0
41,"Strijk, Andrew",11,6,3,14,3,,,1.0,,5.0,4.0,2.0,,,,6.0,7.0,1.0,2.0,1.0,,,80.0
15,"Swift, Tom",5,2,7,12,,,,2.0,1.0,,1.0,4.0,,,,5.0,7.0,,,1.0,,,67.0
8,"Waters, Beau",9,2,7,16,,,,7.0,2.0,,1.0,4.0,1.0,2.0,,9.0,6.0,1.0,,2.0,1.0,,92.0
36,"Wilson, Callum",10,5,5,15,1,2.0,,2.0,,3.0,1.0,2.0,1.0,,,6.0,9.0,1.0,2.0,2.0,,1.0,97.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,63,137,320,8,12.0,53.0,71.0,36.0,38.0,35.0,56.0,16.0,20.0,1.0,150.0,164.0,14.0,13.0,55.0,7.0,3.0,
Opposition,Opposition,223,86,175,398,8,13.0,24.0,88.0,27.0,49.0,40.0,49.0,21.0,16.0,5.0,152.0,240.0,8.0,12.0,42.0,,6.0,
